Round 1, Accuracy: 32.02%
Round 2, Accuracy: 72.93%
Round 3, Accuracy: 78.27%
Round 4, Accuracy: 73.49%
Round 5, Accuracy: 80.2%
Round 6, Accuracy: 81.06%
Round 7, Accuracy: 85.63%
Round 8, Accuracy: 82.64%
Round 9, Accuracy: 82.54%
Round 10, Accuracy: 81.69%
Round 11, Accuracy: 83.51%
Round 12, Accuracy: 85.94%
Round 13, Accuracy: 85.71%
Round 14, Accuracy: 86.75%
Round 15, Accuracy: 85.89%
Round 16, Accuracy: 86.71%
Round 17, Accuracy: 87.28%
Round 18, Accuracy: 87.12%
Round 19, Accuracy: 87.08%
Round 20, Accuracy: 86.91%
