Bzy_MHz	TSC_MHz	CoreTmp	PkgWatt
2481	2199	39	99.15
2492	2204	39	99.98
2491	3190	39	160.64
1560	2188	34	44.91
2488	2200	38	98.79
2488	2200	38	99.00
2489	2200	38	98.95
2487	2199	38	98.91
2486	2199	38	99.09
2488	2202	38	99.22
2487	2200	37	99.13
2485	2213	38	100.14
2483	2200	38	99.20
2485	2200	37	99.14
2486	2200	37	99.17
2486	2200	37	99.19
2487	2199	38	99.09
2486	2201	38	99.13
2488	2200	38	99.10
2485	2200	37	99.20
2480	2200	37	99.23
2485	2200	37	99.05
2486	2200	37	99.12
2486	2200	37	99.13
2481	2200	38	99.23
2486	2200	38	99.07
2488	2200	38	99.05
2488	2200	38	98.97
2487	2200	37	99.04
2484	2200	37	99.06
2476	2200	37	99.25
2487	2200	38	99.17
2486	2200	38	99.19
2487	2200	38	99.17
2488	2200	38	99.17
2488	2200	39	99.16
2487	2200	38	99.26
2487	2200	38	99.20
2487	2200	38	99.19
2486	2200	39	99.17
2487	2200	38	99.18
2486	2200	38	99.20
2487	2200	39	99.08
2486	2200	38	99.13
2487	2200	39	99.13
2487	2200	38	99.17
2487	2200	38	99.13
2487	2200	39	99.14
2487	2200	38	99.11
2486	2200	39	99.08
2488	2200	38	99.03
2487	2200	38	99.09
2489	2200	38	99.19
2487	2200	38	99.16
2487	2200	38	99.16
2486	2200	39	99.22
2483	2200	38	99.27
2487	2200	38	99.13
2487	2200	38	99.04
2487	2200	39	99.03
2488	2200	38	99.10
2488	2200	38	99.12
2488	2200	38	99.14
2488	2200	39	99.09
2487	2200	38	99.03
2487	2200	38	99.19
2487	2200	39	99.16
2488	2200	38	99.16
2488	2200	38	99.11
2488	2200	39	99.29
2487	2200	39	99.21
2487	2200	38	99.11
2487	2200	38	99.04
2487	2200	38	99.03
2488	2200	38	98.99
2488	2200	38	99.01
2487	2200	39	99.06
2489	2200	38	99.06
2488	2200	38	99.14
2487	2200	38	99.05
2487	2200	39	99.08
2488	2200	39	99.06
2487	2200	39	99.04
2488	2200	39	99.01
2487	2200	39	98.97
2489	2198	38	98.89
2488	2201	39	99.12
2488	2200	38	98.96
2488	2200	39	98.97
2488	2200	39	99.00
2487	2200	39	98.94
2488	2200	39	98.98
2488	2200	39	99.01
2487	2200	39	98.91
2488	2200	39	98.93
2488	2200	39	98.99
2487	2200	39	99.05
2488	2200	39	99.09
2488	2200	39	99.06
2488	2200	39	99.09
2487	2200	39	99.08
2488	2200	39	99.08
2488	2200	39	99.04
2488	2200	40	99.10
2488	2200	40	99.05
2488	2200	39	99.11
2487	2200	39	99.10
2487	2200	39	99.20
2487	2200	39	99.16
2487	2200	39	99.11
2488	2200	39	99.11
2487	2200	39	99.25
2486	2200	39	99.15
2487	2200	39	99.09
2486	2200	40	99.16
2487	2200	39	99.18
2488	2200	38	99.17
2487	2200	39	99.11
2487	2200	39	99.11
2487	2200	39	99.06
2487	2200	39	99.11
2486	2200	40	99.14
2487	2200	39	99.12
2484	2200	32	84.84
818	2200	31	44.88
823	2200	30	44.88
812	2200	30	44.85
821	2200	29	44.87
813	2200	29	44.87
921	2200	29	44.90
1238	2200	28	45.22
1206	2200	28	45.25
829	2200	28	44.87
927	2200	27	44.91
915	2200	27	44.90
849	2200	27	44.88
955	2200	27	44.92
830	2200	27	44.88
825	2200	27	44.89
901	2200	26	44.86
911	2200	26	44.83
899	2200	26	44.86
912	2200	26	44.85
918	2200	26	44.83
979	2200	26	44.85
811	2200	26	44.84
893	2200	26	44.83
887	2200	26	44.84
896	2200	26	44.87
824	2200	26	44.84
812	2200	26	44.80
1214	2200	26	45.16
816	2200	26	44.71
913	2200	26	44.71
826	2200	26	44.71
912	2200	26	44.73
827	2200	26	44.77
903	2200	25	44.77
820	2200	26	44.78
825	2200	26	44.78
913	2200	26	44.82
813	2200	25	44.78
1239	2200	25	45.17
824	2200	25	44.83
984	2200	25	44.81
825	2200	26	44.76
848	2200	25	44.78
