2025-03-01 14:29:04 - 
2025-03-01 14:29:05 - 
2025-03-01 14:29:06 - 
2025-03-01 14:29:07 - 
2025-03-01 14:29:08 - 
2025-03-01 14:29:09 - 
2025-03-01 14:29:10 - 
2025-03-01 14:29:11 - 
2025-03-01 14:29:39 - +46.0°C
2025-03-01 14:29:40 - +44.0°C
2025-03-01 14:29:41 - +44.0°C
2025-03-01 14:29:42 - +44.0°C
2025-03-01 14:29:43 - +45.0°C
2025-03-01 14:29:44 - +44.0°C
2025-03-01 14:29:45 - +44.0°C
2025-03-01 14:29:46 - +44.0°C
2025-03-01 14:29:47 - +45.0°C
2025-03-01 14:29:48 - +44.0°C
2025-03-01 14:29:49 - +45.0°C
2025-03-01 14:29:50 - +44.0°C
2025-03-01 14:29:51 - +44.0°C
2025-03-01 14:29:52 - +44.0°C
2025-03-01 14:29:53 - +44.0°C
2025-03-01 14:29:55 - +44.0°C
2025-03-01 14:29:56 - +44.0°C
2025-03-01 14:29:57 - +44.0°C
2025-03-01 14:29:58 - +45.0°C
2025-03-01 14:29:59 - +44.0°C
2025-03-01 14:30:00 - +44.0°C
2025-03-01 14:30:01 - +45.0°C
2025-03-01 14:30:02 - +44.0°C
2025-03-01 14:30:03 - +43.0°C
2025-03-01 14:30:04 - +45.0°C
2025-03-01 14:30:05 - +44.0°C
2025-03-01 14:30:06 - +44.0°C
2025-03-01 14:30:07 - +45.0°C
2025-03-01 14:30:08 - +45.0°C
2025-03-01 14:30:09 - +45.0°C
2025-03-01 14:30:10 - +44.0°C
2025-03-01 14:30:11 - +44.0°C
2025-03-01 14:30:12 - +44.0°C
2025-03-01 14:30:13 - +43.0°C
2025-03-01 14:30:14 - +44.0°C
2025-03-01 14:30:15 - +44.0°C
2025-03-01 14:30:16 - +44.0°C
2025-03-01 14:30:17 - +45.0°C
2025-03-01 14:30:18 - +45.0°C
2025-03-01 14:30:19 - +44.0°C
2025-03-01 14:30:20 - +45.0°C
2025-03-01 14:30:21 - +45.0°C
2025-03-01 14:30:22 - +45.0°C
2025-03-01 14:30:23 - +47.0°C
2025-03-01 14:30:24 - +44.0°C
2025-03-01 14:30:26 - +44.0°C
2025-03-01 14:30:27 - +44.0°C
2025-03-01 14:30:28 - +46.0°C
2025-03-01 14:30:29 - +47.0°C
2025-03-01 14:30:30 - +47.0°C
2025-03-01 14:30:31 - +46.0°C
2025-03-01 14:30:32 - +46.0°C
2025-03-01 14:30:33 - +46.0°C
2025-03-01 14:30:34 - +46.0°C
2025-03-01 14:30:35 - +46.0°C
2025-03-01 14:30:36 - +45.0°C
2025-03-01 14:30:37 - +45.0°C
2025-03-01 14:30:38 - +47.0°C
2025-03-01 14:30:39 - +46.0°C
2025-03-01 14:30:40 - +46.0°C
2025-03-01 14:30:41 - +46.0°C
2025-03-01 14:30:42 - +46.0°C
2025-03-01 14:30:43 - +47.0°C
2025-03-01 14:30:44 - +45.0°C
2025-03-01 14:30:45 - +45.0°C
2025-03-01 14:30:46 - +45.0°C
2025-03-01 14:30:47 - +46.0°C
2025-03-01 14:30:48 - +46.0°C
2025-03-01 14:30:49 - +46.0°C
2025-03-01 14:30:50 - +45.0°C
2025-03-01 14:30:51 - +46.0°C
2025-03-01 14:30:52 - +46.0°C
2025-03-01 14:30:53 - +46.0°C
2025-03-01 14:30:55 - +46.0°C
2025-03-01 14:30:56 - +46.0°C
2025-03-01 14:30:57 - +46.0°C
2025-03-01 14:30:58 - +46.0°C
2025-03-01 14:30:59 - +46.0°C
2025-03-01 14:31:00 - +46.0°C
2025-03-01 14:31:01 - +46.0°C
2025-03-01 14:31:02 - +46.0°C
2025-03-01 14:31:03 - +46.0°C
2025-03-01 14:31:04 - +45.0°C
2025-03-01 14:31:05 - +46.0°C
2025-03-01 14:31:06 - +46.0°C
2025-03-01 14:31:07 - +46.0°C
2025-03-01 14:31:08 - +46.0°C
2025-03-01 14:31:09 - +45.0°C
2025-03-01 14:31:10 - +46.0°C
2025-03-01 14:31:11 - +46.0°C
2025-03-01 14:31:12 - +46.0°C
2025-03-01 14:31:13 - +45.0°C
2025-03-01 14:31:14 - +48.0°C
2025-03-01 14:31:15 - +48.0°C
2025-03-01 14:31:16 - +47.0°C
