Bzy_MHz	TSC_MHz	CoreTmp	PkgWatt
801	2202	26	46.28
800	2201	26	46.29
1074	2200	26	46.28
828	2200	26	46.19
1042	2200	26	46.28
2261	2200	28	58.57
2255	2200	28	57.76
2408	2200	27	97.18
1023	2200	27	54.55
978	2200	27	54.90
945	2200	27	53.30
941	2200	26	53.94
932	2200	26	53.01
972	2200	28	55.01
948	2200	28	53.81
958	2200	26	54.42
974	2200	26	55.72
948	2200	26	53.78
941	2200	26	53.71
929	2200	27	52.64
925	2200	26	52.80
926	2200	26	52.69
973	2200	26	55.23
939	2200	26	53.58
951	2200	27	53.91
924	2200	27	52.91
971	2200	27	54.20
977	2200	26	54.67
1126	2200	26	55.48
2028	2200	29	53.95
2313	2200	27	97.10
949	2200	26	52.23
981	2200	26	52.85
959	2200	26	52.35
948	2200	26	52.37
934	2200	26	51.60
935	2200	26	51.65
937	2200	27	52.04
942	2200	27	52.58
946	2200	26	52.48
925	2200	25	51.88
963	2200	26	53.28
921	2200	26	51.86
930	2200	26	51.73
940	2200	26	52.34
927	2200	25	51.80
935	2200	26	52.02
918	2200	27	51.67
929	2200	26	52.21
938	2200	26	52.29
939	2200	26	52.45
973	2200	27	54.14
1179	2200	26	52.70
2397	2200	31	74.29
2131	2200	27	78.15
999	2200	26	55.34
1007	2200	26	54.94
987	2200	27	53.81
966	2200	26	52.60
990	2200	26	52.87
977	2200	26	54.34
987	2200	26	54.01
980	2200	26	53.11
963	2200	26	52.47
966	2200	26	53.15
966	2200	26	52.86
970	2200	26	52.72
974	2200	26	52.32
961	2200	26	52.43
965	2200	26	52.60
973	2200	26	52.90
976	2200	26	53.52
967	2200	26	52.65
973	2200	26	53.09
958	2200	26	52.45
971	2200	26	52.80
1000	2200	26	53.98
1005	2200	27	53.77
991	2200	26	53.49
1762	2200	28	54.31
2365	2200	28	98.15
1031	2200	27	56.64
1059	2200	26	57.28
1032	2200	26	55.65
1016	2200	27	54.64
1015	2200	26	55.03
1005	2200	27	54.81
1018	2200	27	55.43
1008	2200	27	54.28
1015	2200	27	54.13
1019	2200	27	54.69
1015	2200	27	54.43
1003	2200	27	53.68
1029	2200	27	54.55
1007	2200	27	53.50
1011	2200	27	53.55
1012	2200	27	53.82
990	2200	26	52.72
1004	2200	26	53.97
1013	2200	27	54.36
1018	2200	27	54.26
1007	2200	27	54.45
1008	2200	26	54.52
1015	2200	27	54.52
1022	2200	27	54.23
1070	2200	27	57.01
1057	2200	27	56.28
1955	2200	31	54.51
2353	2200	27	98.68
1077	2200	29	59.18
1091	2200	27	59.72
1090	2200	27	60.88
1053	2200	27	60.17
1066	2200	26	59.89
1053	2200	27	59.75
1064	2200	26	60.61
1048	2200	26	58.49
1049	2200	26	59.69
1036	2200	26	57.75
1052	2200	27	59.08
1049	2200	26	58.64
1045	2200	26	58.56
1048	2199	26	58.31
1064	2201	27	59.51
1039	2200	26	58.06
1053	2200	26	59.37
1043	2200	27	58.31
1051	2200	26	58.64
1029	2200	27	57.78
1039	2200	26	58.76
1042	2200	27	58.22
1063	2200	27	58.98
1069	2200	27	60.13
1070	2200	27	59.33
1083	2200	27	59.08
1436	2200	26	54.22
2432	2200	33	89.15
1794	2200	28	69.51
1121	2200	27	62.07
1116	2200	27	60.95
1108	2200	27	61.34
1089	2200	27	61.70
1077	2200	27	60.12
1092	2200	27	60.53
1097	2200	27	61.43
1095	2200	27	61.03
1090	2200	27	60.52
1087	2200	27	60.22
1101	2200	27	61.83
1081	2200	27	59.64
1083	2200	27	61.30
1070	2200	27	60.15
1076	2200	27	60.38
1083	2200	27	61.03
1070	2200	27	59.74
1103	2200	27	61.40
1078	2200	27	60.69
1090	2200	27	62.18
1090	2200	27	60.10
1076	2200	28	60.32
1071	2200	27	60.29
1075	2200	28	60.60
1120	2200	28	61.37
1097	2200	28	61.42
1123	2200	28	61.63
1794	2200	30	55.82
2373	2200	31	98.60
1140	2200	28	61.00
1180	2200	28	62.33
1149	2200	27	61.03
1128	2200	27	61.85
1129	2200	28	61.94
1101	2200	28	60.75
1132	2200	27	61.09
1118	2200	27	61.80
1129	2200	27	60.83
1128	2200	27	61.65
1109	2200	28	61.54
1111	2200	27	61.28
1119	2200	28	60.96
1132	2200	28	61.82
1112	2200	27	60.78
1118	2200	27	61.36
1108	2200	28	61.23
1113	2200	27	60.51
1105	2200	27	60.43
1124	2200	28	61.94
1131	2200	28	61.69
1100	2200	28	60.93
1121	2200	28	61.65
1118	2200	27	60.83
1110	2200	28	61.30
1114	2200	28	61.43
1128	2200	27	61.17
1124	2200	28	61.52
1143	2200	28	62.26
1147	2200	27	61.56
1703	2200	28	56.66
2422	2200	34	93.69
1588	2200	29	66.27
1194	2200	28	62.77
1192	2200	28	62.56
1190	2200	29	62.48
1133	2200	28	61.76
1146	2200	28	61.91
1182	2200	28	63.15
1142	2200	29	61.55
1150	2200	27	61.79
1157	2200	28	62.39
1130	2200	28	61.43
1137	2200	28	61.37
1137	2200	27	61.95
1150	2200	28	62.25
1150	2200	27	61.60
1131	2200	29	62.11
1153	2200	28	62.53
1138	2200	27	61.83
1145	2200	27	61.83
1161	2200	28	61.44
1161	2200	28	61.88
1145	2200	28	61.82
1161	2200	27	61.73
1125	2200	27	61.81
1147	2200	28	61.94
1149	2200	28	61.86
1142	2200	27	62.25
1160	2200	29	62.04
1165	2200	28	62.08
1178	2200	28	61.97
1165	2200	28	61.04
1864	2200	29	57.69
2420	2200	33	96.53
1351	2200	28	63.24
1259	2200	28	63.61
1201	2200	29	62.36
1192	2200	29	63.12
1193	2200	28	62.12
1186	2200	28	62.63
1190	2200	30	62.91
1191	2200	28	62.10
1166	2200	28	62.37
1168	2200	28	62.34
1200	2200	31	63.03
1183	2200	29	63.08
1151	2200	29	61.92
1163	2200	29	62.77
1181	2200	29	62.32
1178	2200	29	62.93
1183	2200	28	62.68
1177	2200	28	62.55
1173	2200	28	62.17
1172	2200	28	62.49
1197	2200	28	62.85
1170	2200	29	62.36
1172	2200	29	61.65
1178	2200	29	62.65
1177	2200	29	62.43
1167	2200	28	62.03
1174	2200	28	62.26
1167	2200	29	62.01
1168	2200	29	62.23
1178	2200	29	62.53
1202	2200	29	62.47
1215	2200	28	62.30
1213	2200	29	62.44
1831	2200	28	56.59
2395	2200	31	97.54
1362	2200	28	63.26
1273	2200	28	63.55
1252	2200	29	63.02
1237	2200	29	63.57
1190	2200	28	62.10
1209	2200	28	62.76
1206	2200	28	63.36
1200	2200	29	62.83
1192	2200	29	62.91
1197	2200	29	62.79
1225	2200	28	63.40
1197	2200	28	62.07
1233	2200	31	63.51
1212	2200	28	63.55
1191	2200	27	62.84
1226	2200	27	62.84
1206	2200	28	63.00
1223	2200	28	63.87
1210	2200	27	63.03
1195	2200	29	62.09
1214	2200	27	62.81
1197	2200	28	62.72
1205	2200	28	63.18
1199	2200	28	62.77
1200	2200	31	62.79
1207	2200	28	62.82
1205	2200	29	62.55
1189	2200	28	62.48
1198	2200	28	63.22
1203	2200	28	63.10
1213	2200	28	62.81
1232	2200	29	62.50
1242	2200	27	63.83
1356	2200	28	63.29
2105	2200	28	56.02
2388	2200	27	97.90
1051	2200	28	56.34
935	2200	27	56.28
925	2200	28	56.83
941	2200	28	57.51
930	2200	28	58.05
930	2200	28	57.99
1203	2200	27	55.84
2423	2200	33	80.90
2089	2200	28	74.37
952	2200	28	56.91
956	2200	28	58.78
917	2200	27	57.72
909	2200	28	57.74
914	2200	27	56.35
1236	2200	27	56.17
2432	2200	32	68.22
2301	2200	29	86.14
1117	2200	27	60.38
1039	2200	27	60.73
1036	2200	27	60.26
1020	2200	27	60.41
1044	2200	27	60.48
1055	2200	27	60.78
1042	2200	27	60.52
1036	2200	27	60.65
1056	2200	27	60.61
1476	2200	26	56.46
2427	2200	32	81.06
2167	2200	27	75.51
1027	2200	27	59.88
1000	2200	27	60.41
1081	2200	27	60.79
1032	2200	27	60.08
1021	2200	27	60.26
1045	2200	27	59.72
1018	2200	27	60.21
986	2200	27	59.78
1585	2200	26	54.67
2422	2200	32	89.76
1645	2200	27	64.88
902	2200	26	58.48
899	2200	26	58.73
898	2200	26	58.80
902	2200	26	59.84
887	2200	26	59.08
913	2200	26	60.45
915	2200	28	59.13
919	2200	26	59.78
887	2200	26	59.52
893	2200	27	59.82
903	2200	26	60.28
888	2200	26	59.15
897	2200	26	59.58
1475	2200	26	54.94
2429	2200	31	85.01
1837	2200	27	68.84
905	2200	27	59.13
902	2200	27	59.16
892	2200	27	58.42
912	2200	26	59.76
902	2200	26	59.00
887	2200	26	59.28
905	2200	26	59.49
912	2200	26	58.98
898	2200	26	59.32
888	2200	26	58.92
917	2200	26	58.91
907	2200	26	57.66
1826	2200	28	54.59
2414	2200	33	95.88
1101	2200	27	59.54
909	2200	27	59.47
879	2200	27	60.51
883	2200	27	61.24
906	2200	27	60.35
873	2200	27	60.54
880	2200	27	61.46
895	2200	27	60.16
879	2200	27	61.59
