Linux 5.15.0-131-generic (node0.parthaw-244324.hyflowtm-pg0.wisc.cloudlab.us) 	03/01/2025 	_x86_64_	(40 CPU)

10:42:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:42:18 PM     all      0.07      0.00      0.04      0.00      0.00     99.89
10:42:28 PM     all      0.01      0.00      0.01      0.00      0.00     99.98
10:42:38 PM     all      0.14      0.00      0.04      0.00      0.00     99.82
10:42:48 PM     all      0.01      0.00      0.02      0.00      0.00     99.97
10:42:58 PM     all      0.01      0.00      0.01      0.00      0.00     99.98
10:43:08 PM     all      0.00      0.00      0.01      0.00      0.00     99.99
10:43:18 PM     all      0.01      0.00      0.01      0.00      0.00     99.98
10:43:28 PM     all      0.00      0.00      0.01      0.00      0.00     99.99
10:43:38 PM     all      0.00      0.00      0.01      0.00      0.00     99.99
10:43:48 PM     all      0.02      0.00      0.01      0.00      0.00     99.97
10:43:58 PM     all      0.51      0.00      0.05      0.00      0.00     99.45
10:44:08 PM     all      2.33      0.00      0.18      0.04      0.00     97.45
10:44:18 PM     all      2.11      0.00      0.24      0.15      0.00     97.50
10:44:28 PM     all      2.39      0.00      0.10      0.04      0.00     97.48
10:44:38 PM     all      2.30      0.00      0.21      0.08      0.00     97.42
10:44:48 PM     all      2.33      0.00      0.16      0.10      0.00     97.41
10:44:58 PM     all      2.28      0.00      0.25      0.12      0.00     97.35
10:45:08 PM     all      3.61      0.00      0.11      0.01      0.00     96.27
10:45:18 PM     all     20.12      8.18      3.90      0.00      0.00     67.79
10:45:28 PM     all      6.59      2.98      1.84      0.00      0.00     88.59
10:45:38 PM     all      6.52      2.99      1.83      0.00      0.00     88.66
10:45:48 PM     all      6.45      2.98      1.85      0.00      0.00     88.71
10:45:58 PM     all      6.53      2.99      1.88      0.00      0.00     88.60
10:46:08 PM     all      6.52      2.95      1.73      0.00      0.00     88.79
10:46:18 PM     all      6.71      2.99      1.82      0.00      0.00     88.49
10:46:28 PM     all      6.50      2.98      1.81      0.00      0.00     88.71
10:46:38 PM     all      6.56      2.94      1.82      0.01      0.00     88.67
10:46:48 PM     all      6.61      3.01      1.82      0.00      0.00     88.56
10:46:58 PM     all      6.57      3.16      1.92      0.00      0.00     88.36
10:47:08 PM     all     18.75      7.40      4.29      0.00      0.00     69.55
10:47:18 PM     all      6.33      3.65      1.95      0.00      0.00     88.07
10:47:28 PM     all      6.20      3.61      1.92      0.00      0.00     88.27
10:47:38 PM     all      6.07      3.63      1.66      0.00      0.00     88.65
10:47:48 PM     all      6.06      3.61      1.81      0.00      0.00     88.52
10:47:58 PM     all      5.77      3.53      1.66      0.00      0.00     89.04
10:48:08 PM     all      6.01      3.60      1.76      0.00      0.00     88.63
10:48:18 PM     all      5.88      3.60      1.84      0.00      0.00     88.67
10:48:28 PM     all      6.03      3.64      1.78      0.00      0.00     88.55
10:48:38 PM     all      5.94      3.68      1.59      0.00      0.00     88.79
10:48:48 PM     all      6.13      3.81      1.80      0.00      0.00     88.26
10:48:58 PM     all      6.03      3.95      1.88      0.00      0.00     88.14
10:49:08 PM     all     19.10      7.88      4.60      0.00      0.00     68.42
10:49:18 PM     all      5.38      3.57      2.05      0.00      0.00     89.00
10:49:28 PM     all      5.70      3.83      2.04      0.00      0.00     88.43
10:49:38 PM     all      5.41      3.71      1.76      0.00      0.00     89.13
10:49:48 PM     all      5.56      3.98      1.78      0.00      0.00     88.67
10:49:58 PM     all      5.48      3.81      1.88      0.01      0.00     88.83
10:50:08 PM     all      5.48      3.88      1.84      0.00      0.00     88.80
10:50:18 PM     all      5.42      3.93      1.81      0.00      0.00     88.83
10:50:28 PM     all      5.57      3.84      1.84      0.00      0.00     88.75
10:50:38 PM     all      5.44      3.98      1.81      0.00      0.00     88.76
10:50:48 PM     all      5.52      3.92      1.74      0.00      0.00     88.82
10:50:58 PM     all      5.63      4.01      1.86      0.00      0.00     88.50
10:51:08 PM     all      5.46      4.00      1.85      0.00      0.00     88.70
10:51:18 PM     all      3.81      1.82      1.90      0.00      0.00     92.46
10:51:28 PM     all     20.01      9.38      4.63      0.00      0.00     65.99
10:51:38 PM     all      5.47      4.11      2.17      0.00      0.00     88.25
10:51:48 PM     all      5.28      4.11      1.83      0.00      0.00     88.78
10:51:58 PM     all      5.40      4.18      1.90      0.00      0.00     88.52
10:52:08 PM     all      5.33      4.22      1.97      0.00      0.00     88.48
10:52:18 PM     all      5.39      4.37      1.84      0.00      0.00     88.39
10:52:28 PM     all      5.30      4.17      1.87      0.00      0.00     88.66
10:52:38 PM     all      5.22      4.14      1.75      0.00      0.00     88.88
10:52:48 PM     all      5.55      4.36      1.91      0.00      0.00     88.18
10:52:58 PM     all      5.48      4.36      1.89      0.00      0.00     88.26
10:53:08 PM     all      5.39      4.17      1.77      0.00      0.00     88.67
10:53:18 PM     all      5.38      4.39      1.85      0.00      0.00     88.38
10:53:28 PM     all      5.32      4.46      2.00      0.00      0.00     88.21
10:53:38 PM     all      7.82      1.74      2.67      0.00      0.00     87.76
10:53:48 PM     all     15.76      9.90      4.27      0.00      0.00     70.07
10:53:58 PM     all      5.11      4.11      2.12      0.00      0.00     88.66
10:54:08 PM     all      5.05      4.38      1.95      0.00      0.00     88.62
10:54:18 PM     all      5.22      4.49      1.93      0.00      0.00     88.36
10:54:28 PM     all      5.10      4.52      2.00      0.00      0.00     88.38
10:54:38 PM     all      5.28      4.42      1.71      0.00      0.00     88.59
10:54:48 PM     all      5.30      4.43      1.84      0.00      0.00     88.42
10:54:58 PM     all      5.20      4.42      1.70      0.00      0.00     88.68
10:55:08 PM     all      5.20      4.47      1.83      0.00      0.00     88.50
10:55:18 PM     all      5.37      4.55      1.64      0.00      0.00     88.44
10:55:28 PM     all      5.18      4.44      1.73      0.01      0.00     88.65
10:55:38 PM     all      5.31      4.46      1.80      0.00      0.00     88.43
10:55:48 PM     all      5.39      4.65      1.91      0.00      0.00     88.05
10:55:58 PM     all      5.01      3.98      3.22      0.00      0.00     87.79
10:56:08 PM     all     18.15      7.37      3.65      0.00      0.00     70.83
10:56:18 PM     all      4.60      1.08      1.39      0.00      0.00     92.92
10:56:28 PM     all      4.78      1.12      1.16      0.00      0.00     92.94
10:56:38 PM     all      4.73      1.11      1.19      0.00      0.00     92.96
