Linux 5.15.0-131-generic (node0.parthaw-244324.hyflowtm-pg0.wisc.cloudlab.us) 	03/01/2025 	_x86_64_	(40 CPU)

10:43:35 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
10:43:45 PM 193866752 193661064   1555844      0.79     63172    852632    513056      0.25    243776    868096       128
10:43:55 PM 193866248 193660560   1556508      0.79     63180    852632    513056      0.25    243776    868108        20
10:44:05 PM 193742644 193585232   1631036      0.83     63572    899824    594484      0.29    249740    987060       600
10:44:15 PM 193552288 193563564   1648852      0.84     64456   1064644    618328      0.30    251096   1176600      1808
10:44:25 PM 193389224 193538456   1672136      0.85     65468   1200052    640364      0.31    252496   1334664       640
10:44:35 PM 193205532 193520056   1684600      0.86     68144   1358640    652392      0.32    277492   1481596    140512
10:44:45 PM 192977304 193498668   1697308      0.86     73908   1551524    665552      0.32    306248   1664956     63572
10:44:55 PM 192719492 193489824   1695748      0.86     79792   1785840    664528      0.32    340808   1870540    165488
10:45:05 PM 192981048 193601160   1582492      0.80     81932   1631852    555656      0.27    269884   1680852      5944
10:45:15 PM 189700396 190327980   4807104      2.44     82336   1644300  28114632     13.71    305768   4793060      2560
10:45:25 PM 189157820 189785788   5302416      2.70     82352   1689860  29102892     14.19    305844   5327012       380
10:45:35 PM 189057888 189686292   5401284      2.75     82368   1690332  29162244     14.22    305888   5412308       352
10:45:45 PM 189021772 189650668   5436696      2.76     82396   1690796  29179736     14.23    305916   5445428       164
10:45:55 PM 188970132 189599544   5486840      2.79     82440   1692048  29204836     14.24    305952   5481920       272
10:46:05 PM 188932436 189562336   5524100      2.81     82460   1692488  29222180     14.25    305972   5507032       248
10:46:15 PM 188901600 189532184   5554064      2.82     82476   1693176  29260860     14.27    305988   5549232       284
10:46:25 PM 188907708 189538792   5547720      2.82     82492   1693648  29254148     14.27    306024   5548752       740
10:46:35 PM 188887808 189519412   5566980      2.83     82508   1694108  29258400     14.27    306040   5559196       456
10:46:45 PM 188867932 189500020   5586536      2.84     82524   1694576  29287560     14.28    306056   5592368       472
10:46:55 PM 188867708 189500260   5586008      2.84     82540   1695028  29238032     14.26    306072   5555748       416
10:47:05 PM 191746860 192379912   2786120      1.42     82560   1642524   5005616      2.44    353656   2842248        40
10:47:15 PM 188826908 189462392   5569252      2.83     82632   1747264  29329236     14.30    354656   5595328       156
10:47:25 PM 188657668 189293604   5737152      2.92     82648   1747708  29394984     14.33    354632   5772740        92
10:47:35 PM 188528644 189165024   5865412      2.98     82664   1748136  29485160     14.38    354648   5867112       280
10:47:45 PM 188544828 189181680   5848944      2.97     82696   1748556  29496580     14.38    354680   5876028       296
10:47:55 PM 188501280 189138580   5890188      2.99     82720   1750524  29535096     14.40    354736   5919156       480
10:48:05 PM 188409832 189047616   5980892      3.04     82736   1750988  29591368     14.43    354744   5994944       504
10:48:15 PM 188366828 189005256   6023292      3.06     82756   1751624  29639960     14.45    354772   6053328       436
10:48:25 PM 188362164 189001040   6027412      3.06     82772   1752052  29637188     14.45    354788   6070956       432
10:48:35 PM 188364340 189003644   6024844      3.06     82788   1752496  29655844     14.46    354812   6071356       448
10:48:45 PM 188310536 188950332   6077884      3.09     82804   1752928  29689480     14.48    354832   6106968       356
10:48:55 PM 188399872 189040128   5986628      3.04     82820   1754936  29537528     14.40    354844   5982692       184
10:49:05 PM 191273372 191914240   3248496      1.65     82844   1648932   5488528      2.68    380260   3278872        12
10:49:15 PM 188471412 189114460   5858016      2.98     82948   1809880  29529520     14.40    380432   5934020       132
10:49:25 PM 188251832 188895272   6076648      3.09     82964   1810252  29720416     14.49    380448   6138948        56
10:49:35 PM 188051784 188695636   6276008      3.19     82980   1810636  29632792     14.45    380468   6333072       352
10:49:45 PM 188068240 188712508   6259076      3.18     83008   1811044  29848020     14.56    380492   6304568       556
10:49:55 PM 188030900 188675608   6295424      3.20     83068   1811420  29895032     14.58    380548   6334840       288
10:50:05 PM 187936888 188582020   6389268      3.25     83084   1811824  29899828     14.58    380568   6442664       268
10:50:15 PM 187841076 188486820   6484116      3.30     83104   1812408  30073456     14.67    380588   6533716       256
10:50:25 PM 187715096 188361288   6609792      3.36     83124   1812832  30137776     14.70    380608   6635200       268
10:50:35 PM 187731892 188378492   6592316      3.35     83144   1813188  30149480     14.70    380628   6638392       136
10:50:45 PM 187725188 188372208   6598708      3.36     83160   1813596  30174224     14.71    380648   6648116       116
10:50:55 PM 187644212 188291656   6679464      3.40     83176   1813988  30216416     14.74    380664   6717148       124
10:51:05 PM 187747908 188395812   6575396      3.34     83192   1814448  30125132     14.69    380680   6630152        36
10:51:15 PM 192711492 193360732   1800300      0.92     83232   1656100   2235208      1.09    381820   1747832       900
10:51:25 PM 188618848 189270044   5659608      2.88     83356   1857528  29025160     14.15    382140   5744780       548
10:51:35 PM 187960580 188612200   6306796      3.21     83372   1867304  29916876     14.59    382156   6442916       396
10:51:45 PM 187755640 188407592   6511048      3.31     83388   1867684  30106944     14.68    382168   6603956       388
10:51:55 PM 187523860 188176200   6739056      3.43     83404   1871180  30275704     14.76    382184   6823176       520
10:52:05 PM 187574880 188227632   6687644      3.40     83448   1871540  30272072     14.76    382224   6798388       244
10:52:15 PM 187503508 188156692   6758688      3.44     83484   1871916  30279256     14.77    382264   6865000       244
10:52:25 PM 187422940 188076792   6838724      3.48     83500   1872572  30416340     14.83    382280   6960388       244
10:52:35 PM 187209024 187863252   7051976      3.59     83516   1872928  30578860     14.91    382296   7149312       224
10:52:45 PM 187173500 187828100   7087120      3.60     83532   1873296  30625940     14.94    382312   7176080       224
10:52:55 PM 187126432 187781424   7133404      3.63     83548   1873664  30630428     14.94    382328   7227216       204
10:53:05 PM 187091084 187746472   7168696      3.65     83564   1874056  30652312     14.95    382344   7270468       192
10:53:15 PM 187100892 187756684   7158344      3.64     83580   1874432  30481836     14.86    382360   7228280       328
10:53:25 PM 187172132 187828624   7086176      3.60     83596   1875120  30610096     14.93    382376   7207432       164
10:53:35 PM 192546448 193203380   1956264      0.99     83612   1662796   2853200      1.39    382896   1932916        28
10:53:45 PM 188358600 189017316   5879568      2.99     83724   1894712  29291548     14.28    383204   5987092       116
10:53:55 PM 187592932 188252028   6624328      3.37     83740   1914564  30087968     14.67    383220   6788432         4
10:54:05 PM 187345348 188004856   6861496      3.49     83756   1924696  30336172     14.79    383236   7013872       412
10:54:15 PM 187067672 187727572   7134400      3.63     83772   1928964  30708720     14.98    383248   7301100       376
10:54:25 PM 187076024 187736328   7125676      3.62     83824   1929312  30645972     14.94    383300   7265220       576
10:54:35 PM 187050856 187711588   7150156      3.64     83884   1929684  30731920     14.99    383356   7323640       516
10:54:45 PM 186901224 187562580   7299224      3.71     83908   1930280  30851064     15.04    383384   7453856       492
10:54:55 PM 186795292 187457004   7404816      3.77     83924   1930624  31007324     15.12    383400   7588328       452
10:55:05 PM 186597788 187259876   7602168      3.87     83940   1930992  31169448     15.20    383416   7764220       600
10:55:15 PM 186580212 187242672   7619240      3.87     83956   1931364  31163580     15.20    383432   7786392       436
10:55:25 PM 186539944 187202784   7659184      3.89     83972   1931724  31192888     15.21    383448   7796364       452
10:55:35 PM 186505324 187168592   7693176      3.91     83992   1932104  31280780     15.25    383468   7890888       600
10:55:45 PM 186488964 187152940   7709096      3.92     84008   1932804  31216304     15.22    383484   7848772       372
10:55:55 PM 186723820 187388168   7473856      3.80     84024   1933156  30944780     15.09    383500   7588352       224
10:56:05 PM 190151800 190817064   4276136      2.17     84152   1708952  23083456     11.26    384776   4293356       596
10:56:15 PM 188015432 188683176   5186672      2.64     84228   2924920  30180384     14.72    384856   6360748       136
10:56:25 PM 187864856 188532868   5289608      2.69     84248   2972032  30260836     14.76    384872   6507000       140
10:56:35 PM 187804764 188472960   5315176      2.70     84264   3006172  30326976     14.79    384884   6572388       116
10:56:45 PM 187782664 188451108   5330596      2.71     84288   3012640  30332428     14.79    384912   6591960       376
10:56:55 PM 187775144 188443788   5337768      2.71     84304   3012824  30356696     14.80    384920   6614292       380
10:57:05 PM 187715596 188384492   5397112      2.74     84324   3013064  30380484     14.82    384944   6650568        68
10:57:15 PM 187672568 188341872   5431360      2.76     84340   3021680  30394696     14.82    384956   6669628       308
10:57:25 PM 187669888 188339408   5433768      2.76     84356   3021868  30385276     14.82    384980   6668844       104
10:57:35 PM 187659892 188329620   5443480      2.77     84400   3022044  30403792     14.83    385024   6681484       316
10:57:45 PM 187639380 188309396   5463672      2.78     84488   3022244  30424112     14.84    385108   6710596       380
10:57:55 PM 187619208 188289436   5483548      2.79     84508   3022424  30427768     14.84    385128   6719440       352
10:58:05 PM 187613320 188283840   5458624      2.78     84524   3053108  30423936     14.84    385152   6726216       372
10:58:15 PM 187626968 188297952   5444208      2.77     84540   3053568  30396672     14.82    385160   6696860       344
10:58:25 PM 187631572 188302768   5439256      2.77     84556   3053744  30400240     14.83    385188   6705336       228
10:58:35 PM 187611468 188282848   5459404      2.78     84572   3053920  30415612     14.83    385192   6717420        60
10:58:45 PM 187596236 188267864   5453312      2.77     84588   3075312  30440544     14.84    385212   6742496        20
10:58:55 PM 187588960 188260776   5460460      2.78     84604   3075508  30449936     14.85    385224   6752640       360
10:59:05 PM 189559452 190230960   4862284      2.47     84744   1712000  23070200     11.25    385976   4894312       232
10:59:15 PM 188002268 188675972   5230660      2.66     84816   2891856  30105308     14.68    386028   6389664       240
10:59:25 PM 187853280 188527300   5321228      2.71     84836   2949680  30228768     14.74    386056   6534228       228
10:59:35 PM 187773232 188447484   5364780      2.73     84852   2985792  30296272     14.77    386072   6618284       224
10:59:45 PM 187732208 188406664   5405456      2.75     84868   2985980  30290020     14.77    386084   6614428       364
10:59:55 PM 187704188 188378844   5433048      2.76     84884   2986176  30306676     14.78    386092   6637580       368
11:00:05 PM 187666740 188341676   5447068      2.77     84900   3009164  30359764     14.81    386104   6689672       228
11:00:15 PM 187634008 188309360   5479252      2.79     84920   3009564  30385112     14.82    386128   6726248       180
11:00:25 PM 187609332 188284884   5503620      2.80     84936   3009724  30382676     14.82    386144   6728476       120
11:00:35 PM 187599812 188275608   5512752      2.80     85004   3009924  30398108     14.82    386204   6743796       340
11:00:45 PM 187580788 188256888   5531256      2.81     85084   3010120  30410712     14.83    386296   6761664       128
11:00:55 PM 187597036 188273336   5515072      2.80     85104   3010316  30413248     14.83    386316   6768048       216
11:01:05 PM 187623984 188300508   5484060      2.79     85124   3014340  30366044     14.81    386336   6729376       364
11:01:15 PM 187631536 188308584   5475876      2.78     85140   3014804  30349404     14.80    386352   6723568       160
11:01:25 PM 187606152 188283400   5501084      2.80     85156   3014988  30376700     14.81    386368   6740564       188
