procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 193866992  63164 961568    0    0     0     2    5    3  0  0 100  0  0
 0  0      0 193866240  63172 961616    0    0     0    27  228  109  0  0 100  0  0
 1  0      0 193818944  63368 963116    0    0     0   328  369  364  1  0 99  0  0
 0  1      0 193463360  63856 1223228    0    0     0 17668 1077  758  2  0 97  0  0
 1  0      0 193456448  64908 1270432    0    0     0 27646  888  752  2  0 97  0  0
 1  0      0 193382672  65912 1323428    0    0     0  8438  752  745  2  0 97  0  0
 1  0      0 193104160  70028 1574064    0    0     1 17663  960  861  2  0 97  0  0
 1  0      0 192939168  75416 1732760    0    0     1 21474 1299 1099  2  0 97  0  0
 1  0      0 193015328  81908 1796524    0    0     3 24138 1252  975  2  0 97  0  0
 1  0      0 192963664  82168 1798888    0    0   282   628  947  799  4  0 96  0  0
 8  0      0 189277648  82344 1857552    0    0   168   310 14748 42384 28  4 68  0  0
 3  0      0 189122496  82360 1857820    0    0     0   302 17788 56719 10  2 88  0  0
 8  0      0 189050672  82376 1858296    0    0     0   152 17957 55645 10  2 89  0  0
 7  0      0 188992432  82420 1859552    0    0     0   128 17926 55185  9  2 89  0  0
 4  0      0 188956768  82444 1860028    0    0     0   140 17919 55324  9  2 89  0  0
 5  0      0 188922688  82460 1860500    0    0     0   151 17907 55541 10  2 89  0  0
 4  0      0 188894784  82476 1861196    0    0     0   184 17822 55492 10  2 89  0  0
 3  0      0 188899888  82500 1861656    0    0     0   210 17940 54894 10  2 89  0  0
 4  0      0 188876736  82516 1862160    0    0     0   183 17812 54789 10  2 89  0  0
 4  0      0 188863408  82532 1862612    0    0     0   164 17751 54269 10  2 89  0  0
 4  0      0 188887936  82548 1863064    0    0     0   155 17755 54900 10  2 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 189207136  82624 1881596    0    0     0   264 11277 29626 26  4 69  0  0
 5  0      0 188758704  82640 1917284    0    0     0   138 17767 54831 10  2 88  0  0
 5  0      0 188621008  82656 1917720    0    0     0   182 17666 53627 10  2 88  0  0
 5  0      0 188564384  82672 1918188    0    0     0   148 17750 52801 10  2 89  0  0
 5  0      0 188552448  82712 1920180    0    0     0   165 17855 52468 10  2 89  0  0
