Linux 5.15.0-131-generic (node0.parthaw-244253.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(48 CPU)

11:14:15 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:14:25 PM     all      0.11      0.00      0.06      0.02      0.00     99.80
11:14:35 PM     all      0.11      0.00      0.07      0.02      0.00     99.80
11:14:45 PM     all      0.13      0.00      0.06      0.01      0.00     99.80
11:14:55 PM     all      0.19      0.00      0.07      0.02      0.00     99.73
11:15:05 PM     all      0.19      0.00      0.08      0.02      0.00     99.72
11:15:15 PM     all      0.20      0.00      0.09      0.02      0.00     99.70
11:15:25 PM     all      1.02      0.00      0.12      0.04      0.00     98.82
11:15:35 PM     all     15.14      5.87      2.73      0.03      0.00     76.23
11:15:45 PM     all      5.52      2.29      1.72      0.12      0.00     90.35
11:15:55 PM     all      5.55      2.27      1.72      0.10      0.00     90.35
11:16:05 PM     all      5.45      2.31      1.75      0.06      0.00     90.44
11:16:15 PM     all      5.53      2.46      1.79      0.09      0.00     90.13
11:16:25 PM     all     16.43      6.71      3.70      0.12      0.00     73.04
11:16:35 PM     all      5.40      2.65      1.83      0.09      0.00     90.03
11:16:45 PM     all      5.39      2.63      1.81      0.08      0.00     90.09
11:16:55 PM     all      5.36      2.55      1.61      0.05      0.00     90.43
11:17:05 PM     all      5.38      2.67      1.74      0.08      0.00     90.12
11:17:15 PM     all     15.42      1.38      2.94      0.05      0.00     80.20
11:17:25 PM     all      6.19      8.46      2.73      0.10      0.00     82.52
11:17:35 PM     all      5.26      3.07      1.90      0.10      0.00     89.67
11:17:45 PM     all      5.23      3.02      1.77      0.08      0.00     89.90
11:17:55 PM     all      5.30      2.99      1.68      0.12      0.00     89.91
11:18:05 PM     all      5.20      3.10      2.70      0.05      0.00     88.94
11:18:15 PM     all     16.29      7.12      3.26      0.13      0.00     73.20
11:18:25 PM     all      5.03      3.24      1.84      0.11      0.00     89.76
11:18:35 PM     all      5.11      3.40      1.93      0.08      0.00     89.48
11:18:45 PM     all      5.17      3.22      1.65      0.11      0.00     89.86
11:18:55 PM     all      5.05      3.12      1.70      0.05      0.00     90.08
11:19:05 PM     all      4.34      2.80      2.68      0.06      0.00     90.11
11:19:15 PM     all     16.66      7.17      3.44      0.04      0.00     72.70
11:19:25 PM     all      4.58      3.01      1.94      0.09      0.00     90.38
11:19:35 PM     all      4.58      3.05      1.97      0.07      0.00     90.33
11:19:45 PM     all      4.63      3.07      1.83      0.05      0.00     90.42
11:19:55 PM     all      4.64      3.11      1.73      0.04      0.00     90.47
11:20:05 PM     all      4.66      3.08      1.81      0.04      0.00     90.41
11:20:15 PM     all      4.43      2.92      2.65      0.41      0.00     89.59
11:20:25 PM     all     15.52      6.11      3.12      0.14      0.00     75.11
11:20:35 PM     all      3.70      0.84      1.05      0.08      0.00     94.33
11:20:45 PM     all      3.76      0.86      0.94      0.08      0.00     94.36
11:20:55 PM     all      3.81      0.90      0.94      0.06      0.00     94.29
11:21:05 PM     all      3.81      0.88      0.89      0.08      0.00     94.35
11:21:15 PM     all      3.79      0.89      0.94      0.06      0.00     94.32
11:21:25 PM     all      3.72      0.94      0.93      0.08      0.00     94.33
11:21:35 PM     all      3.74      1.10      1.07      0.05      0.00     94.04
11:21:45 PM     all      3.73      0.84      0.96      0.03      0.00     94.44
11:21:55 PM     all      3.76      0.88      0.91      0.03      0.00     94.42
11:22:05 PM     all      9.98      0.44      2.58      0.03      0.00     86.98
11:22:15 PM     all      9.09      6.44      2.55      0.18      0.00     81.74
11:22:25 PM     all      3.81      0.88      0.99      0.07      0.00     94.26
11:22:35 PM     all      3.75      0.90      0.91      0.07      0.00     94.36
11:22:45 PM     all      3.74      0.88      0.98      0.07      0.00     94.33
11:22:55 PM     all      3.71      0.88      0.98      0.08      0.00     94.35
11:23:05 PM     all      3.70      0.88      0.97      0.07      0.00     94.38
11:23:15 PM     all      3.79      1.10      1.07      0.11      0.00     93.94
11:23:25 PM     all      3.72      0.96      0.97      0.05      0.00     94.30
11:23:35 PM     all      3.73      0.87      0.97      0.04      0.00     94.39
11:23:45 PM     all     15.79      5.88      3.90      0.02      0.00     74.41
11:23:55 PM     all      2.74      1.04      1.29      0.24      0.00     94.68
11:24:05 PM     all      3.30      0.68      0.86      0.06      0.00     95.10
11:24:15 PM     all      3.29      0.67      0.90      0.06      0.00     95.09
11:24:25 PM     all      3.32      0.69      0.80      0.06      0.00     95.13
11:24:35 PM     all      3.31      0.72      0.83      0.05      0.00     95.09
11:24:45 PM     all      3.30      0.68      0.82      0.06      0.00     95.13
11:24:55 PM     all      3.34      0.72      0.79      0.07      0.00     95.09
11:25:05 PM     all      3.34      0.70      0.80      0.05      0.00     95.11
11:25:15 PM     all      3.36      0.71      0.88      0.07      0.00     94.98
11:25:25 PM     all      3.32      0.77      0.75      0.05      0.00     95.11
11:25:35 PM     all      3.33      0.88      0.81      0.05      0.00     94.92
11:25:45 PM     all      3.38      0.75      0.81      0.05      0.00     95.00
11:25:55 PM     all      3.30      0.66      0.75      0.07      0.00     95.23
11:26:05 PM     all      3.35      0.70      0.79      0.04      0.00     95.13
11:26:15 PM     all      3.39      0.71      0.74      0.04      0.00     95.12
11:26:25 PM     all     15.44      5.85      4.09      0.04      0.00     74.58
11:26:35 PM     all      2.96      0.93      1.25      0.06      0.00     94.80
11:26:45 PM     all      3.29      0.68      0.81      0.05      0.00     95.18
11:26:55 PM     all      3.37      0.69      0.84      0.03      0.00     95.08
