Linux 5.15.0-131-generic (node0.parthaw-244253.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(48 CPU)

11:14:19 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:14:29 PM 253093948 253821104   2021548      0.77    160780   8315420  11948844      4.39   3752656   6104972         4
11:14:39 PM 253093484 253820656   2021960      0.77    160792   8315444  11949512      4.39   3752668   6105292        92
11:14:49 PM 253094332 253821560   2021208      0.77    160800   8315476  11949512      4.39   3752684   6105420       244
11:14:59 PM 253094008 253821268   2021516      0.77    160804   8315488  11952452      4.39   3752692   6107280       276
11:15:09 PM 253093076 253820340   2022488      0.77    160816   8315492  11953696      4.39   3752772   6108836       288
11:15:19 PM 253093056 253820348   2022536      0.77    160828   8315492  11953696      4.39   3752784   6108944       216
11:15:29 PM 259875316 260602060   1608804      0.61    160860   1949932   3378432      1.24    680696   2397204       376
11:15:39 PM 255734724 256463856   5667972      2.15    161008   2003136  35079356     12.88    681072   6370568       704
11:15:49 PM 255593192 256323544   5806820      2.20    161060   2005952  35168852     12.91    681124   6514036      1076
11:15:59 PM 255491880 256223396   5906888      2.24    161076   2007068  34998584     12.85    681140   6585188      1392
11:16:09 PM 255478280 256210928   5918108      2.24    161088   2009360  35249824     12.94    681156   6620504       308
11:16:19 PM 259686020 260419680   1788772      0.68    161104   1956156   3415032      1.25    680960   2497176       908
11:16:29 PM 255348816 256085112   5992332      2.27    161264   2063048  35159500     12.91    681332   6781464      1480
11:16:39 PM 255123912 255861328   6215940      2.35    161320   2064120  35523908     13.04    681388   6961964      1852
11:16:49 PM 254977160 255715596   6360184      2.41    161352   2066652  35428128     13.01    681412   7114372      1252
11:16:59 PM 254938644 255678140   6397800      2.42    161364   2067668  35602704     13.07    681428   7141804       436
11:17:09 PM 255032440 255772968   6302932      2.39    161376   2068680  35336888     12.97    681436   7051296       712
11:17:19 PM 255157176 255900040   6122332      2.32    161592   2121236  35024820     12.86    681668   6971112      1296
11:17:29 PM 254759132 255503024   6519936      2.47    161608   2122224  35762132     13.13    681680   7306700      1260
11:17:39 PM 254568516 255313464   6709836      2.54    161692   2123200  35893664     13.18    681764   7482724      1428
11:17:49 PM 254389476 255135464   6885352      2.61    161724   2126536  36054236     13.24    681796   7669708      1520
11:17:59 PM 254333152 255080168   6940624      2.63    161732   2127516  36128748     13.26    681804   7764252       456
11:18:09 PM 257581672 258329232   3872260      1.47    161848   1968568  20826408      7.65    681804   4624756      1084
11:18:19 PM 254560328 255310504   6657140      2.52    161944   2183352  36013664     13.22    682020   7542580      1252
11:18:29 PM 254281976 255033180   6934320      2.63    162032   2184296  36246656     13.31    682108   7812544      1384
11:18:39 PM 253974892 254727052   7240344      2.74    162064   2185184  36508000     13.40    682140   8091072      1216
11:18:49 PM 253941080 254694184   7273240      2.75    162072   2186112  36572072     13.43    682152   8145704       616
