procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 253093952 160784 8549488    0    0     0     1    6    5  0  0 99  0  0
 0  0      0 253093488 160796 8549532    0    0     0    20  915 1477  0  0 100  0  0
 0  0      0 253094560 160804 8549544    0    0     0    17  996 1612  0  0 100  0  0
 0  0      0 253093056 160808 8549552    0    0     0    16 1000 1601  0  0 100  0  0
 0  0      0 253092608 160824 8549560    0    0     0    26 1013 1672  0  0 100  0  0
 1  0      0 253053552 160832 8549560    0    0     0    44 1038 1608  0  0 100  0  0
 2  0      0 259762640 160864 2182440    0    0     0    54 2441 2653  1  0 98  0  0
 4  0      0 255687696 161008 2238608    0    0     0   230 24742 104139 25  4 71  0  0
 2  0      0 255570752 161064 2239764    0    0     0   176 22922 105157  8  2 90  0  0
 5  0      0 255467296 161076 2240912    0    0     0   172 22933 105128  8  2 90  0  0
 6  0      0 255483456 161088 2243180    0    0     0   292 22860 102583  8  2 90  0  0
49  0      0 256863680 161172 2190428    0    0     0   164 15633 60883 13  3 85  0  0
 4  0      0 255250848 161264 2298016    0    0     0   239 25605 115249 19  3 78  0  0
 9  0      0 255116032 161332 2299080    0    0     0   174 22459 98464  8  2 90  0  0
 6  0      0 254949536 161352 2301676    0    0     0   262 22515 96475  8  2 90  0  0
 6  0      0 254901056 161364 2302748    0    0     0   274 22542 97361  8  2 90  0  0
 1  0      0 259842944 161408 2197168    0    0     0   170 20135 80688  7  2 91  0  0
 1  0      0 254975072 161592 2357000    0    0     0   306 20596 82314 25  3 72  0  0
 1  0      0 254782128 161652 2358032    0    0     0   169 22290 96179  8  2 90  0  0
 8  0      0 254517072 161692 2359020    0    0     0   153 22454 94798  8  2 90  0  0
 5  0      0 254362944 161724 2362388    0    0     0   342 22720 97498  8  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 254448464 161732 2363412    0    0     0   169 22619 95092  8  2 90  0  0
 2  0      0 255445872 161940 2395220    0    0     0   154 18261 65565 23  4 73  0  0
 4  0      0 254438912 161944 2419732    0    0     0   297 22023 90805  8  2 90  0  0
 6  0      0 254244848 162044 2420684    0    0     0   173 22139 93871  9  2 89  0  0
 7  1      0 253891488 162064 2421600    0    0     0   270 22046 91149  8  2 90  0  0
 4  0      0 253915728 162072 2422576    0    0     0   178 22125 91928  8  2 90  0  0
 5  0      0 254056080 162084 2423500    0    0     0   197 22273 91134  8  2 89  0  0
 6  0      0 255146544 162300 2471344    0    0     0   291 17500 57275 23  4 73  0  0
 4  0      0 254123856 162316 2472128    0    0     0   216 21908 79937  7  2 90  0  0
 2  0      0 253807264 162408 2482648    0    0     0   219 22137 78898  8  2 90  0  0
 3  0      0 253600528 162440 2483436    0    0     0   195 22152 80510  8  2 91  0  0
 1  0      0 253333184 162456 2484220    0    0     0   184 22222 80708  8  2 91  0  0
 6  0      0 253302736 162464 2484992    0    0     0   190 22160 82499  8  2 90  0  0
 1  0      0 253193936 162480 2486088    0    0     0   260 22220 82147  8  2 90  0  0
 2  0      0 255268640 162700 3065260    0    0     0   359 17982 54587 22  4 73  0  0
 3  0      0 253943712 162708 4135232    0    0     0   216 19101 54596  4  1 94  0  0
 2  0      0 253790128 162716 4233300    0    0     0   120 19695 56424  5  1 94  0  0
 2  0      0 253700608 162732 4273100    0    0     0   131 19794 56882  5  1 94  0  0
 3  0      0 253663872 162748 4273428    0    0     0   140 19741 55443  5  1 94  0  0
 2  0      0 253643872 162800 4273600    0    0     0   309 19867 56719  5  1 94  0  0
 1  0      0 253610064 162904 4274248    0    0     0   112 19695 54921  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 253617504 162916 4274600    0    0     0   186 19799 55851  5  1 94  0  0
 3  0      0 253627344 162928 4286292    0    0     0   152 19642 55614  5  1 94  0  0
 7  0      0 253601056 162936 4286624    0    0     0   133 19678 55003  5  1 94  0  0
