Linux 5.15.0-131-generic (node0.parthaw-244100.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(128 CPU)

11:22:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:23:05 PM     all      0.07      0.00      0.08      0.01      0.00     99.84
11:23:15 PM     all      0.06      0.00      0.09      0.01      0.00     99.84
11:23:25 PM     all      0.09      0.00      0.07      0.01      0.00     99.82
11:23:35 PM     all      0.08      0.00      0.08      0.01      0.00     99.83
11:23:45 PM     all      0.07      0.00      0.08      0.00      0.00     99.84
11:23:55 PM     all      0.08      0.00      0.08      0.00      0.00     99.84
11:24:05 PM     all      0.07      0.00      0.09      0.01      0.00     99.83
11:24:15 PM     all      0.06      0.00      0.09      0.00      0.00     99.85
11:24:25 PM     all      0.32      0.00      0.10      0.02      0.00     99.56
11:24:35 PM     all      7.89      4.56      3.52      0.01      0.00     84.02
11:24:45 PM     all      2.19      0.77      1.16      0.08      0.00     95.80
11:24:55 PM     all      2.16      0.75      1.13      0.03      0.00     95.93
11:25:05 PM     all      8.59      4.82      5.89      0.02      0.00     80.68
11:25:15 PM     all      2.18      0.92      1.19      0.05      0.00     95.66
11:25:25 PM     all      2.12      0.91      1.12      0.03      0.00     95.82
11:25:35 PM     all      5.21      0.57      3.66      0.02      0.00     90.55
11:25:45 PM     all      5.43      5.24      3.66      0.06      0.00     85.61
11:25:55 PM     all      2.03      0.95      1.16      0.02      0.00     95.84
11:26:05 PM     all      2.04      1.04      3.43      0.02      0.00     93.46
11:26:15 PM     all      8.36      4.74      3.83      0.05      0.00     83.02
11:26:25 PM     all      2.05      1.09      1.21      0.03      0.00     95.61
11:26:35 PM     all      2.06      1.11      1.08      0.02      0.00     95.74
11:26:45 PM     all      1.64      0.68      4.49      0.02      0.00     93.17
11:26:55 PM     all      8.59      5.27      4.20      0.06      0.00     81.89
11:27:05 PM     all      1.84      1.00      1.17      0.05      0.00     95.94
11:27:15 PM     all      1.83      1.00      1.09      0.02      0.00     96.06
11:27:25 PM     all      1.80      0.96      3.41      0.01      0.00     93.81
11:27:35 PM     all      8.03      4.59      3.60      0.03      0.00     83.76
11:27:45 PM     all      1.51      0.32      0.74      0.03      0.00     97.41
11:27:55 PM     all      1.46      0.29      0.68      0.03      0.00     97.53
11:28:05 PM     all      1.47      0.30      0.64      0.03      0.00     97.56
11:28:15 PM     all      1.42      0.37      0.64      0.02      0.00     97.55
11:28:25 PM     all      1.45      0.29      0.83      0.01      0.00     97.42
11:28:35 PM     all      8.10      4.58      6.35      0.09      0.00     80.88
11:28:45 PM     all      1.43      0.29      0.70      0.02      0.00     97.56
11:28:55 PM     all      1.49      0.31      0.68      0.02      0.00     97.50
11:29:05 PM     all      1.48      0.31      0.67      0.03      0.00     97.52
11:29:15 PM     all      1.47      0.37      0.70      0.02      0.00     97.43
11:29:25 PM     all      1.32      0.23      3.70      0.01      0.00     94.74
11:29:35 PM     all      8.06      4.60      3.77      0.05      0.00     83.52
11:29:45 PM     all      1.22      0.23      0.64      0.02      0.00     97.89
11:29:55 PM     all      1.29      0.23      0.54      0.03      0.00     97.91
11:30:05 PM     all      1.28      0.22      0.53      0.02      0.00     97.94
11:30:15 PM     all      1.29      0.23      0.49      0.03      0.00     97.96
11:30:25 PM     all      1.30      0.24      0.51      0.02      0.00     97.93
11:30:35 PM     all      1.28      0.30      0.53      0.02      0.00     97.87
11:30:45 PM     all      1.28      0.23      0.52      0.01      0.00     97.96
11:30:55 PM     all      1.29      0.24      0.52      0.01      0.00     97.94
11:31:05 PM     all      7.92      4.36      6.64      0.05      0.00     81.02
11:31:15 PM     all      1.03      0.35      0.78      0.04      0.00     97.80
11:31:25 PM     all      1.34      0.25      0.56      0.02      0.00     97.83
11:31:35 PM     all      1.34      0.25      0.58      0.03      0.00     97.80
11:31:45 PM     all      1.35      0.25      0.55      0.02      0.00     97.83
11:31:55 PM     all      1.33      0.27      0.55      0.02      0.00     97.83
11:32:05 PM     all      1.34      0.31      0.58      0.02      0.00     97.75
11:32:15 PM     all      1.31      0.26      0.54      0.01      0.00     97.88
11:32:25 PM     all      7.76      0.41      5.85      0.04      0.00     85.94
11:32:35 PM     all      1.06      4.35      2.30      0.02      0.00     92.27
11:32:45 PM     all      0.84      0.16      1.35      0.02      0.00     97.63
11:32:55 PM     all      0.82      0.15      1.31      0.02      0.00     97.71
11:33:05 PM     all      0.81      0.18      1.35      0.01      0.00     97.65
11:33:15 PM     all      0.82      0.17      1.32      0.01      0.00     97.68
11:33:25 PM     all      0.81      0.16      1.28      0.01      0.00     97.74
11:33:35 PM     all      0.81      0.15      1.33      0.02      0.00     97.70
11:33:45 PM     all      0.84      0.15      1.31      0.01      0.00     97.68
11:33:55 PM     all      0.83      0.16      1.30      0.01      0.00     97.70
11:34:05 PM     all      0.82      0.16      1.31      0.01      0.00     97.69
11:34:15 PM     all      0.82      0.16      1.30      0.01      0.00     97.71
11:34:25 PM     all      0.77      0.16      1.32      0.01      0.00     97.73
11:34:35 PM     all      0.78      0.16      1.30      0.03      0.00     97.73
11:34:45 PM     all      0.79      0.19      1.30      0.02      0.00     97.70
11:34:55 PM     all      0.78      0.19      1.32      0.01      0.00     97.69
11:35:05 PM     all      0.80      0.19      1.31      0.01      0.00     97.69
11:35:15 PM     all      0.77      0.16      1.32      0.01      0.00     97.73
11:35:25 PM     all      0.79      0.16      1.29      0.01      0.00     97.74
11:35:35 PM     all      0.80      0.15      1.30      0.02      0.00     97.73
11:35:45 PM     all      0.78      0.17      1.29      0.01      0.00     97.75
11:35:55 PM     all      0.81      0.17      1.30      0.01      0.00     97.72
11:36:05 PM     all      0.63      0.13      3.81      0.02      0.00     95.42
11:36:15 PM     all      8.09      4.65      4.58      0.02      0.00     82.66
11:36:25 PM     all      0.84      0.16      1.36      0.01      0.00     97.63
11:36:35 PM     all      0.85      0.16      1.34      0.02      0.00     97.63
11:36:45 PM     all      0.84      0.16      1.29      0.01      0.00     97.69
11:36:55 PM     all      0.85      0.16      1.28      0.01      0.00     97.69
11:37:05 PM     all      0.84      0.17      1.31      0.01      0.00     97.66
11:37:15 PM     all      0.84      0.15      1.33      0.02      0.00     97.65
11:37:25 PM     all      0.84      0.17      1.24      0.01      0.00     97.74
11:37:35 PM     all      0.82      0.16      1.32      0.02      0.00     97.68
11:37:45 PM     all      0.84      0.17      1.28      0.02      0.00     97.69
11:37:55 PM     all      0.82      0.16      1.26      0.01      0.00     97.74
11:38:05 PM     all      0.83      0.16      1.25      0.02      0.00     97.74
11:38:15 PM     all      0.82      0.17      1.29      0.03      0.00     97.69
11:38:25 PM     all      0.85      0.19      1.28      0.03      0.00     97.65
11:38:35 PM     all      0.77      0.20      1.29      0.01      0.00     97.72
11:38:45 PM     all      0.85      0.18      1.32      0.01      0.00     97.64
11:38:55 PM     all      0.84      0.17      1.28      0.01      0.00     97.71
11:39:05 PM     all      0.85      0.17      1.25      0.01      0.00     97.73
11:39:15 PM     all      0.84      0.15      1.29      0.03      0.00     97.70
11:39:25 PM     all      0.68      0.12      3.80      0.03      0.00     95.38
11:39:35 PM     all      8.09      4.66      4.61      0.06      0.00     82.58
11:39:45 PM     all      0.87      0.15      1.39      0.01      0.00     97.58
11:39:55 PM     all      0.88      0.16      1.36      0.01      0.00     97.59
11:40:05 PM     all      0.86      0.15      1.34      0.02      0.00     97.63
11:40:15 PM     all      0.85      0.15      1.33      0.02      0.00     97.64
11:40:25 PM     all      0.86      0.16      1.32      0.01      0.00     97.65
11:40:35 PM     all      0.85      0.16      1.31      0.03      0.00     97.65
11:40:45 PM     all      0.85      0.17      1.28      0.02      0.00     97.67
11:40:55 PM     all      0.80      0.16      1.33      0.01      0.00     97.69
11:41:05 PM     all      0.86      0.17      1.30      0.02      0.00     97.65
11:41:15 PM     all      0.81      0.16      1.26      0.01      0.00     97.76
11:41:25 PM     all      0.84      0.16      1.27      0.02      0.00     97.71
11:41:35 PM     all      0.86      0.17      1.32      0.02      0.00     97.64
11:41:45 PM     all      0.83      0.17      1.30      0.02      0.00     97.68
11:41:55 PM     all      0.85      0.19      1.28      0.01      0.00     97.67
11:42:05 PM     all      0.84      0.21      1.31      0.01      0.00     97.63
11:42:15 PM     all      0.85      0.18      1.30      0.01      0.00     97.66
11:42:25 PM     all      0.83      0.17      1.29      0.01      0.00     97.70
11:42:35 PM     all      0.87      0.17      1.32      0.03      0.00     97.61
11:42:45 PM     all      0.84      0.18      1.27      0.01      0.00     97.71
11:42:55 PM     all      0.83      0.17      1.29      0.01      0.00     97.70
11:43:05 PM     all      0.84      0.17      1.31      0.01      0.00     97.67
11:43:15 PM     all      0.57      0.11      3.86      0.02      0.00     95.44
11:43:25 PM     all      8.21      4.60      4.53      0.02      0.00     82.64
11:43:35 PM     all      0.87      0.18      1.37      0.02      0.00     97.56
11:43:45 PM     all      0.85      0.17      1.34      0.02      0.00     97.62
11:43:55 PM     all      0.85      0.17      1.32      0.02      0.00     97.64
11:44:05 PM     all      0.88      0.17      1.30      0.02      0.00     97.64
11:44:15 PM     all      0.87      0.17      1.29      0.02      0.00     97.65
11:44:25 PM     all      0.84      0.18      1.30      0.05      0.00     97.64
11:44:35 PM     all      0.86      0.17      1.32      0.02      0.00     97.63
11:44:45 PM     all      0.85      0.16      1.25      0.01      0.00     97.71
11:44:55 PM     all      0.87      0.16      1.30      0.02      0.00     97.66
11:45:05 PM     all      0.84      0.18      1.29      0.02      0.00     97.67
11:45:15 PM     all      0.83      0.17      1.29      0.01      0.00     97.69
11:45:25 PM     all      0.88      0.18      1.29      0.03      0.00     97.62
11:45:35 PM     all      0.88      0.19      1.26      0.02      0.00     97.66
11:45:45 PM     all      0.87      0.20      1.33      0.01      0.00     97.58
11:45:55 PM     all      0.84      0.19      1.31      0.01      0.00     97.66
11:46:05 PM     all      0.87      0.17      1.30      0.01      0.00     97.66
11:46:15 PM     all      0.84      0.19      1.29      0.01      0.00     97.67
11:46:25 PM     all      0.86      0.17      1.28      0.02      0.00     97.67
11:46:35 PM     all      0.84      0.17      1.26      0.01      0.00     97.71
11:46:45 PM     all      7.89      4.49      7.30      0.05      0.00     80.28
11:46:55 PM     all      0.83      0.21      1.59      0.01      0.00     97.35
11:47:05 PM     all      0.92      0.15      1.37      0.02      0.00     97.54
11:47:15 PM     all      0.97      0.17      1.30      0.02      0.00     97.54
11:47:25 PM     all      1.00      0.17      1.33      0.01      0.00     97.49
11:47:35 PM     all      0.90      0.16      1.30      0.01      0.00     97.63
11:47:45 PM     all      0.95      0.16      1.29      0.03      0.00     97.58
11:47:55 PM     all      0.90      0.18      1.27      0.01      0.00     97.64
11:48:05 PM     all      0.92      0.16      1.27      0.01      0.00     97.63
11:48:15 PM     all      0.91      0.17      1.28      0.01      0.00     97.63
11:48:25 PM     all      0.92      0.16      1.28      0.01      0.00     97.63
11:48:35 PM     all      0.91      0.17      1.28      0.01      0.00     97.63
11:48:45 PM     all      0.90      0.16      1.28      0.03      0.00     97.64
11:48:55 PM     all      0.93      0.18      1.30      0.02      0.00     97.57
11:49:05 PM     all      0.86      0.19      1.31      0.01      0.00     97.62
11:49:15 PM     all      0.90      0.20      1.27      0.01      0.00     97.62
11:49:25 PM     all      0.92      0.20      1.28      0.01      0.00     97.59
11:49:35 PM     all      0.90      0.19      1.33      0.01      0.00     97.58
11:49:45 PM     all      0.89      0.17      1.32      0.01      0.00     97.61
11:49:55 PM     all      0.91      0.18      1.28      0.01      0.00     97.62
11:50:05 PM     all      0.89      0.16      1.28      0.01      0.00     97.66
