Linux 5.15.0-131-generic (node0.parthaw-244100.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(128 CPU)

11:23:04 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:23:14 PM 508368752 508114680   5025832      0.95    188104  13047920  24580552      4.58   6238384  10422640       276
11:23:24 PM 508369576 508115536   5024976      0.95    188120  13047924  24580552      4.58   6238416  10422788        80
11:23:34 PM 508369492 508115488   5025036      0.95    188136  13047932  24580552      4.58   6238432  10422668        36
11:23:44 PM 508369072 508115120   5025392      0.95    188152  13047980  24578460      4.58   6238444  10421064        36
11:23:54 PM 508367284 508113340   5027156      0.95    188168  13047988  24580552      4.58   6238468  10422712        32
11:24:04 PM 508367340 508113440   5027076      0.95    188184  13047996  24580552      4.58   6238488  10422748       176
11:24:14 PM 508366904 508113108   5027444      0.95    188196  13048052  24580552      4.58   6238496  10423192        32
11:24:24 PM 508338628 508084916   5055284      0.96    188232  13048044  24619856      4.59   6239124  10459376        44
11:24:34 PM 504919816 504667304  13856576      2.62    188492   7617416  88686332     16.54   3313328  16487888      1400
11:24:44 PM 504362976 504115480  14324972      2.71    188728   7674440 116749744     21.77   3314380  16754800       404
11:24:54 PM 504167812 503922380  14518200      2.75    188744   7676484 116983092     21.81   3314404  16925508       600
11:25:04 PM 505663408 505421460  13099172      2.48    189124   7625880  83609840     15.59   3314892  15712604      1472
11:25:14 PM 503899256 503660780  14722388      2.79    189276   7735420 117200108     21.85   3315932  17188860       316
11:25:24 PM 503643876 503407300  14975236      2.84    189300   7738084 117221604     21.86   3315984  17413796       312
11:25:34 PM 513808348 513573364   4992900      0.95    189352   7633036  16928904      3.16   3315532   7638076         4
11:25:44 PM 503515796 503286688  15043572      2.85    189780   7796112 117550784     21.92   3317376  17616640       616
11:25:54 PM 503169216 502941972  15384100      2.91    189888   7801384 117778196     21.96   3318464  17923852       592
11:26:04 PM 503118020 502892524  15433336      2.92    189908   7803116 117750064     21.96   3318484  17920632       588
11:26:14 PM 503736028 503515964  14773436      2.80    190384   7848516 116194952     21.67   3319924  17383648       288
11:26:24 PM 502926244 502707912  15572068      2.95    190484   7858012 117910512     21.99   3320028  18156452      1160
11:26:34 PM 502545380 502328672  15943036      3.02    190500   7867532 118207420     22.04   3320044  18494232       608
11:26:44 PM 513833340 513617984   4946040      0.94    190556   7649864  16705404      3.11   3319524   7557400       860
11:26:54 PM 502751396 502541992  15680612      2.97    191004   7918008 118086004     22.02   3321508  18262148       756
11:27:04 PM 502228592 502020696  16195536      3.07    191128   7925212 118475228     22.09   3321632  18725668       380
11:27:14 PM 501900896 501693884  16522244      3.13    191176   7926080 118759132     22.14   3320712  19024980       500
11:27:24 PM 502428364 502222688  15993356      3.03    191192   7927436 118263832     22.05   3320724  18477964       576
11:27:34 PM 503445784 503245000  13871812      2.63    191668   9029960 116890624     21.80   3322152  17742008       332
11:27:44 PM 502520176 502320068  14104416      2.67    191688   9721236 118703196     22.13   3322188  18626896       244
11:27:54 PM 502400916 502201408  14222504      2.69    191700   9721832 118781112     22.15   3322200  18733128       236
11:28:04 PM 502348392 502149588  14274152      2.70    191848   9722404 118808564     22.15   3322320  18769492       492
11:28:14 PM 502297684 502099496  14278992      2.70    191868   9767944 118788508     22.15   3322364  18770900       504
11:28:24 PM 502297540 502099936  14278248      2.70    191884   9768512 118813772     22.15   3322380  18804300       316
11:28:34 PM 503604384 503412664  13953128      2.64    192360   8784228 116645140     21.75   3323804  17531036         0
11:28:44 PM 502550540 502359420  14191452      2.69    192380   9598940 118678796     22.13   3323884  18586168       896
11:28:54 PM 502438048 502247552  14293408      2.71    192396   9608940 118744820     22.14   3323892  18680144       552
11:29:04 PM 502371376 502181600  14359504      2.72    192532   9609540 118766620     22.15   3324024  18721256       420
11:29:14 PM 502379696 502190516  14350388      2.72    192552   9610132 118715304     22.14   3324048  18685896       488
11:29:24 PM 513446636 513258004   5208348      0.99    192576   7757880  19329760      3.60   3374808   7892168      1016
11:29:34 PM 501991416 501807824  14071164      2.67    193040  10276720 118384120     22.07   3325456  19139720       236
11:29:44 PM 500286260 500103120  14294620      2.71    193052  11757780 120810780     22.53   3325480  20849224       312
11:29:54 PM 500205496 500022724  14374620      2.72    193072  11758132 120845876     22.53   3325500  20925332       368
11:30:04 PM 500084456 499902088  14481124      2.74    193088  11772624 120957832     22.55   3325520  21038944       256
11:30:14 PM 500104848 499922844  14460384      2.74    193116  11772968 120914616     22.55   3325536  21007988       196
11:30:24 PM 499985512 499804048  14578944      2.76    193244  11773344 121038088     22.57   3325664  21144428       280
11:30:34 PM 500085364 499904832  14478004      2.74    193264  11774340 120868960     22.54   3325700  20988800       568
11:30:44 PM 500099620 499919568  14463084      2.74    193276  11774740 120885024     22.54   3325716  21007756       272
11:30:54 PM 500064176 499884504  14498468      2.75    193288  11775104 120914664     22.55   3325720  21048360       252
11:31:04 PM 506433584 506256292  12181064      2.31    193564   7754584  78703284     14.68   3326044  14970936       940
11:31:14 PM 500546008 500371392  14246436      2.70    193768  11544956 120548972     22.48   3327184  20578848       456
11:31:24 PM 500314972 500140784  14476004      2.74    193788  11545496 120670424     22.50   3327204  20783772       296
11:31:34 PM 500153948 499980172  14582940      2.76    193804  11599152 120838784     22.53   3327212  20955828       536
11:31:44 PM 500065772 499892532  14670908      2.78    193832  11599608 120908672     22.54   3327240  21020632       288
11:31:54 PM 500008248 499835568  14727848      2.79    193960  11600032 120965472     22.56   3327372  21104424       356
11:32:04 PM 500115140 499942924  14620248      2.77    193976  11600528 120817756     22.53   3327396  20980504       340
11:32:14 PM 500085260 499913944  14649176      2.77    193992  11601452 120886848     22.54   3327404  21043676       388
11:32:24 PM 508421796 508251728  10282728      1.95    194232   7686888  62773256     11.70   3327168  13026204       376
11:32:34 PM 501333844 501168856  14415168      2.73    194488  10569204 119611952     22.30   3328912  19566812       224
11:32:44 PM 500959596 500794804  14586160      2.76    194500  10771300 119809324     22.34   3328928  19902740       208
11:32:54 PM 500815924 500651284  14677880      2.78    194516  10824748 120006968     22.38   3328940  20044460       196
11:33:04 PM 500559128 500394672  14834428      2.81    194540  10925680 120154756     22.40   3328964  20280580       208
11:33:14 PM 500543896 500379592  14849784      2.81    194556  10925828 120152436     22.40   3328980  20262644       200
11:33:24 PM 500466308 500302232  14925444      2.83    194572  10926016 120217796     22.42   3328992  20284392       196
11:33:34 PM 500357804 500194456  15032088      2.85    194592  10926748 120244764     22.42   3329016  20388064       304
11:33:44 PM 500322476 500159324  15067352      2.85    194608  10926940 120298928     22.43   3329032  20396160       252
11:33:54 PM 500176332 500013360  15215348      2.88    194620  10927080 120345560     22.44   3329048  20499204       188
11:34:04 PM 500294616 500131792  15096388      2.86    194636  10927224 120305684     22.43   3329064  20406148       344
11:34:14 PM 500216872 500054196  15174080      2.87    194664  10927388 120315076     22.43   3329084  20476876        20
11:34:24 PM 500238864 500076464  15153984      2.87    194732  10927588 120353764     22.44   3329148  20516840         0
11:34:34 PM 500226272 500065096  15162400      2.87    194784  10928704 120405324     22.45   3329208  20518436       384
11:34:44 PM 500174244 500013288  15212536      2.88    194804  10928916 120359620     22.44   3329232  20522604       384
11:34:54 PM 500265624 500104864  15122160      2.86    194820  10929068 120271712     22.43   3329248  20405048       320
11:35:04 PM 500319416 500158812  15070756      2.85    194836  10929232 120189668     22.41   3329264  20370428       664
11:35:14 PM 500314268 500153784  15075700      2.86    194852  10929372 120209092     22.41   3329280  20385572       340
11:35:24 PM 500328980 500168732  15058988      2.85    194868  10929560 120217540     22.42   3329292  20366472       580
11:35:34 PM 500268216 500108792  15119456      2.86    194884  10930384 120217556     22.42   3329308  20400208       344
11:35:44 PM 500243732 500084532  15142760      2.87    194892  10930576 120235120     22.42   3329320  20402600       336
11:35:54 PM 500204528 500045516  15182256      2.88    194904  10930724 120266788     22.43   3329324  20452864       320
11:36:04 PM 514170164 514011468   4539396      0.86    194928   7696528  16182208      3.02   3328840   7212916       688
11:36:14 PM 501597480 501444228  14429776      2.73    195396  10288432 119373308     22.26   3330804  19321372       784
11:36:24 PM 500736744 500584016  14830368      2.81    195412  10746272 119912428     22.36   3330808  20031152       176
11:36:34 PM 500538876 500386112  14874652      2.82    195428  10898840 120149244     22.40   3330824  20228784       220
11:36:44 PM 500341192 500188668  15076016      2.86    195444  10899056 120254732     22.42   3330844  20407464       216
11:36:54 PM 500306980 500154592  15108780      2.86    195460  10899204 120280432     22.43   3330864  20429860       324
11:37:04 PM 500293500 500141268  15121512      2.86    195476  10899348 120268800     22.43   3330876  20395736       196
11:37:14 PM 500134916 499983488  15221120      2.88    195492  10962172 120388528     22.45   3330880  20567260       112
11:37:24 PM 500037416 499886184  15317272      2.90    195508  10962324 120516292     22.47   3330900  20694448        84
11:37:34 PM 499996792 499845724  15356560      2.91    195524  10962488 120583084     22.48   3330916  20728752       172
11:37:44 PM 499987196 499836360  15366460      2.91    195540  10962688 120569008     22.48   3330936  20751660        36
11:37:54 PM 500015660 499865028  15341356      2.91    195588  10962844 120550520     22.48   3330972  20744264       316
11:38:04 PM 500000420 499850024  15355228      2.91    195680  10962996 120568764     22.48   3331064  20748312       356
11:38:14 PM 499913136 499763908  15439840      2.92    195712  10964208 120620584     22.49   3331104  20831028       280
11:38:24 PM 499898804 499749800  15457020      2.93    195724  10964372 120632304     22.49   3331120  20838892       348
11:38:34 PM 499994828 499846020  15344704      2.91    195740  10979784 120571352     22.48   3331136  20744580       116
11:38:44 PM 499921716 499773128  15323324      2.90    195756  11074908 120612340     22.49   3331156  20815040       308
11:38:54 PM 499903980 499755564  15340228      2.91    195772  11075056 120647520     22.50   3331172  20864396       360
11:39:04 PM 499884760 499736516  15358044      2.91    195788  11075212 120671632     22.50   3331188  20880688       540
11:39:14 PM 499909000 499761604  15335332      2.90    195796  11076104 120667192     22.50   3331196  20890184       404
11:39:24 PM 514132380 513985444   4563492      0.86    195808   7706000  16184292      3.02   3330692   7239828       932
11:39:34 PM 500830736 500688972  14490584      2.74    196268  10994056 120158404     22.40   3332660  20123808       656
11:39:44 PM 500010068 499870440  14811976      2.81    196284  11487052 120672448     22.50   3332684  20851576       172
11:39:54 PM 499505424 499367048  14994804      2.84    196296  11807060 121026888     22.57   3332696  21283828       128
11:40:04 PM 499262848 499123724  15079988      2.86    196308  11965032 121231364     22.60   3332700  21468808        96
11:40:14 PM 499281328 499142296  15062892      2.85    196324  11965188 121227720     22.60   3332720  21419524       140
11:40:24 PM 499185252 499046136  15158200      2.87    196332  11965332 121267312     22.61   3332724  21525428       108
11:40:34 PM 499152420 499014636  15189596      2.88    196348  11966092 121322528     22.62   3332740  21533724       440
11:40:44 PM 499063020 498925208  15279932      2.89    196364  11966288 121424104     22.64   3332756  21682616       200
11:40:54 PM 499005280 498867444  15306336      2.90    196380  11997716 121554360     22.67   3332768  21792376       360
11:41:04 PM 498936156 498798760  15376488      2.91    196396  11997884 121531404     22.66   3332776  21839404       156
11:41:14 PM 499051204 498913436  15263032      2.89    196416  11998004 121487648     22.65   3332792  21766508       240
11:41:24 PM 499000676 498863492  15310276      2.90    196484  11998156 121546224     22.66   3332844  21766980       212
11:41:34 PM 498866488 498730372  15441888      2.93    196532  11999360 121600164     22.67   3332900  21882248       312
11:41:44 PM 498853040 498717732  15453552      2.93    196588  11999560 121654548     22.68   3332964  21911588       404
11:41:54 PM 498709344 498573864  15597244      2.95    196604  11999712 121676792     22.69   3332988  21966972       524
11:42:04 PM 498901940 498766584  15406808      2.92    196620  11999848 121511156     22.66   3333004  21787096       148
11:42:14 PM 499025356 498889804  15286916      2.90    196636  11999996 121422608     22.64   3333024  21665884       120
11:42:24 PM 499029828 498894220  15281924      2.89    196648  12000140 121404168     22.64   3333028  21699256       280
11:42:34 PM 498935600 498800864  15248064      2.89    196664  12125960 121547012     22.66   3333052  21823180       252
11:42:44 PM 498926144 498791612  15258140      2.89    196680  12126156 121556892     22.67   3333064  21854960       124
11:42:54 PM 498866840 498732456  15319536      2.90    196692  12127900 121624468     22.68   3333072  21896868       144
11:43:04 PM 498775032 498640792  15409020      2.92    196708  12128032 121663948     22.69   3333096  21968684       248
11:43:14 PM 514220760 514086612   4458000      0.84    196740   7715708  15544592      2.90   3332592   7126632        32
11:43:24 PM 500486084 500356900  14512264      2.75    197196  11310692 120457528     22.46   3334588  20441004       772
11:43:34 PM 499617288 499489236  14895124      2.82    197212  11791644 121058796     22.57   3334604  21271372       360
11:43:44 PM 499346576 499219104  15016136      2.84    197228  11943420 121335644     22.62   3334620  21482564       432
11:43:54 PM 499146608 499018300  15218188      2.88    197252  11943576 121477584     22.65   3334644  21717188       320
11:44:04 PM 499156336 499028104  15208344      2.88    197268  11943736 121477048     22.65   3334660  21715364       304
