procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 508369472 188072 13419924    0    0     0     0    1    0  0  0 100  0  0
 0  0      0 508368512 188112 13420064    0    0     0    77 2022 3150  0  0 100  0  0
 1  0      0 508369952 188128 13420068    0    0     0    47 2152 3207  0  0 100  0  0
 0  0      0 508369280 188144 13420108    0    0     0    34 2054 3211  0  0 100  0  0
 0  0      0 508367744 188160 13420124    0    0     0    36 2070 3187  0  0 100  0  0
 0  0      0 508367072 188176 13420132    0    0     0    32 2096 3263  0  0 100  0  0
 0  0      0 508366848 188188 13420144    0    0     0    49 2119 3179  0  0 100  0  0
 1  0      0 508366912 188204 13420192    0    0     0    35 1998 3150  0  0 100  0  0
 0  0      0 514156000 188272 7987252    0    0     0    76 3703 4051  0  0 99  0  0
 6  0      0 504493568 188676 8046344    0    0    18   507 69326 156547 13  4 83  0  0
10  0      0 504223296 188740 8048428    0    0     0   453 88047 211835  3  1 96  0  0
11  0      0 513655552 188756 7997500    0    0     0   356 87366 208050  3  3 94  0  0
 7  0      0 504121568 189216 8106264    0    0    11   731 67442 153047 13  4 83  0  0
 3  0      0 503716352 189292 8109740    0    0     0   377 87200 201928  3  1 96  0  0
 2  0      0 503601792 189308 8112428    0    0     0   315 86925 203443  3  1 96  0  0
 6  0      0 503996096 189772 8168004    0    0     0   703 67095 147837 13  6 80  0  0
 7  0      0 503430016 189876 8172116    0    0     0   260 85254 193108  3  1 96  0  0
 9  0      0 503112320 189900 8177364    0    0     0   353 85522 191891  3  1 96  0  0
 0  0      0 513703680 189964 8016484    0    0     0   280 54776 122346  2  3 95  0  0
 8  0      0 503075648 190388 8234100    0    0     6   678 88138 193224 14  4 82  0  0
 4  0      0 502583712 190492 8243628    0    0     0   376 83784 190732  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
