Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/09/2025 	_x86_64_	(40 CPU)

08:02:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:03:11 PM     all      0.95      0.00      0.03      0.00      0.00     99.02
08:04:11 PM     all      2.58      0.00      0.03      0.00      0.00     97.39
08:05:11 PM     all      2.57      0.00      0.04      0.00      0.00     97.39
08:06:11 PM     all      2.57      0.00      0.02      0.00      0.00     97.40
08:07:11 PM     all      2.53      0.00      0.01      0.00      0.00     97.46
08:08:11 PM     all      2.55      0.00      0.01      0.00      0.00     97.44
08:09:11 PM     all      2.57      0.00      0.01      0.00      0.00     97.42
08:10:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:11:11 PM     all      2.50      0.00      0.02      0.00      0.00     97.48
08:12:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.49
08:13:11 PM     all      2.50      0.00      0.00      0.00      0.00     97.49
08:14:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:15:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:16:11 PM     all      2.52      0.00      0.04      0.00      0.00     97.45
08:17:11 PM     all      2.52      0.00      0.04      0.00      0.00     97.44
08:18:11 PM     all      2.52      0.00      0.04      0.00      0.00     97.45
08:19:11 PM     all      2.51      0.00      0.02      0.00      0.00     97.47
08:20:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:21:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
08:22:11 PM     all      2.50      0.00      0.02      0.00      0.00     97.48
08:23:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:24:11 PM     all      2.52      0.00      0.02      0.00      0.00     97.46
08:25:11 PM     all      2.52      0.00      0.04      0.00      0.00     97.44
08:26:11 PM     all      2.52      0.00      0.04      0.00      0.00     97.44
08:27:11 PM     all      2.51      0.00      0.02      0.00      0.00     97.47
08:28:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
08:29:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:30:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
08:31:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:32:11 PM     all      2.50      0.00      0.02      0.00      0.00     97.48
08:33:11 PM     all      2.51      0.00      0.02      0.00      0.00     97.48
08:34:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
08:35:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.49
08:36:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:37:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:38:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.48
08:39:11 PM     all      2.50      0.00      0.02      0.00      0.00     97.48
08:40:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.49
08:41:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:42:11 PM     all      2.51      0.00      0.02      0.00      0.00     97.47
08:43:11 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
08:44:11 PM     all      2.51      0.00      0.02      0.00      0.00     97.48
08:45:11 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
