Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/11/2025 	_x86_64_	(40 CPU)

02:02:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:03:18 PM     all      1.92      0.00      0.04      0.00      0.00     98.04
02:04:18 PM     all      2.53      0.00      0.01      0.00      0.00     97.46
02:05:18 PM     all      2.53      0.00      0.01      0.00      0.00     97.46
02:06:18 PM     all      2.53      0.00      0.02      0.00      0.00     97.45
02:07:18 PM     all      2.52      0.00      0.01      0.00      0.00     97.46
02:08:18 PM     all      2.52      0.00      0.01      0.00      0.00     97.46
02:09:18 PM     all      2.53      0.00      0.01      0.00      0.00     97.46
02:10:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:11:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:12:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.48
02:13:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:14:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:15:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:16:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:17:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.47
02:18:18 PM     all      2.52      0.00      0.04      0.00      0.00     97.45
02:19:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:20:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:21:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:22:18 PM     all      2.50      0.00      0.02      0.00      0.00     97.48
02:23:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.47
02:24:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.46
02:25:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:26:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:27:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:28:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.47
02:29:18 PM     all      2.50      0.00      0.02      0.00      0.00     97.48
02:30:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:31:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:32:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:33:18 PM     all      2.58      0.00      0.05      0.00      0.00     97.38
02:34:18 PM     all      2.50      0.00      0.02      0.00      0.00     97.48
02:35:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:36:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.49
02:37:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:38:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:39:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.47
02:40:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:41:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:42:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.49
02:43:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:44:18 PM     all      2.51      0.00      0.03      0.00      0.00     97.46
02:45:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.48
02:46:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:47:18 PM     all      2.50      0.00      0.01      0.00      0.00     97.49
02:48:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:49:18 PM     all      2.51      0.00      0.01      0.00      0.00     97.48
02:50:18 PM     all      2.51      0.00      0.02      0.00      0.00     97.48
