timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu
2025/02/11 14:02:06.860, Tesla P100-PCIE-12GB, 0 %, 0 %, 12288 MiB, 653 MiB, 31
2025/02/11 14:03:06.862, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 653 MiB, 32
2025/02/11 14:04:06.864, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 655 MiB, 33
2025/02/11 14:05:06.865, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 655 MiB, 33
2025/02/11 14:06:06.866, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 655 MiB, 34
2025/02/11 14:07:06.868, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 657 MiB, 34
2025/02/11 14:08:06.870, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 657 MiB, 34
2025/02/11 14:09:06.871, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 657 MiB, 34
2025/02/11 14:10:06.873, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 657 MiB, 34
2025/02/11 14:11:06.875, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 657 MiB, 34
2025/02/11 14:12:06.877, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 657 MiB, 34
2025/02/11 14:13:06.878, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 657 MiB, 34
2025/02/11 14:14:06.879, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:15:06.881, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:16:06.883, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:17:06.885, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:18:06.887, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:19:06.889, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:20:06.891, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:21:06.892, Tesla P100-PCIE-12GB, 21 %, 8 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:22:06.894, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:23:06.896, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:24:06.898, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:25:06.900, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:26:06.902, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:27:06.904, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:28:06.906, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:29:06.908, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:30:06.910, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:31:06.912, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:32:06.914, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:33:06.916, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:34:06.918, Tesla P100-PCIE-12GB, 21 %, 8 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:35:06.920, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:36:06.921, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:37:06.923, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:38:06.925, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:39:06.927, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:40:06.929, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:41:06.931, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:42:06.933, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:43:06.935, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:44:06.936, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:45:06.938, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:46:06.940, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:47:06.942, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:48:06.944, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:49:06.946, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:50:06.947, Tesla P100-PCIE-12GB, 21 %, 8 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:51:06.949, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:52:06.951, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:53:06.953, Tesla P100-PCIE-12GB, 21 %, 8 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:54:06.954, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:55:06.956, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:56:06.958, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:57:06.960, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:58:06.962, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 14:59:06.964, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:00:06.966, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:01:06.968, Tesla P100-PCIE-12GB, 19 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:02:06.970, Tesla P100-PCIE-12GB, 20 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:03:06.972, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:04:06.974, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:05:06.976, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:06:06.978, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:07:06.980, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:08:06.982, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:09:06.984, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:10:06.985, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:11:06.987, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:12:06.989, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:13:06.990, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:14:06.992, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:15:06.994, Tesla P100-PCIE-12GB, 18 %, 7 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:16:06.995, Tesla P100-PCIE-12GB, 17 %, 6 %, 12288 MiB, 659 MiB, 34
2025/02/11 15:17:06.997, Tesla P100-PCIE-12GB, 18 %, 6 %, 12288 MiB, 659 MiB, 34
