Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/11/2025 	_x86_64_	(40 CPU)

02:02:22 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:03:22 PM 183446268 192079696   2923832      1.49    178060   9433940   3554356      1.73    907300  10126612         8
02:04:22 PM 183444580 192078056   2925604      1.49    178128   9433920   3554356      1.73    907368  10126668        28
02:05:22 PM 183443604 192077128   2926496      1.49    178176   9433920   3554356      1.73    907416  10126956        12
02:06:22 PM 183442620 192076176   2927512      1.49    178208   9433920   3554356      1.73    907448  10126692         8
02:07:22 PM 183444208 192077804   2925932      1.49    178232   9433928   3554356      1.73    907480  10126712        12
02:08:22 PM 183441784 192075440   2928316      1.49    178296   9433932   3554356      1.73    907540  10126704        32
02:09:22 PM 183441824 192075528   2928064      1.49    178336   9433932   3554356      1.73    907588  10126704       156
02:10:22 PM 183440664 192074424   2929048      1.49    178376   9433948   3554356      1.73    907628  10126696       152
02:11:22 PM 183440952 192074744   2928768      1.49    178408   9433948   3554356      1.73    907660  10126752         8
02:12:22 PM 183439496 192073320   2930060      1.49    178440   9433948   3559848      1.74    907696  10129068       140
02:13:22 PM 183441864 192075744   2927720      1.49    178488   9433956   3554356      1.73    907740  10126788       156
02:14:22 PM 183441660 192075580   2927708      1.49    178528   9433956   3554356      1.73    907780  10126828       144
02:15:22 PM 183440988 192074948   2928344      1.49    178576   9433956   3554356      1.73    907820  10126804        24
02:16:22 PM 183441360 192075360   2928220      1.49    178608   9433956   3554356      1.73    907860  10126780       152
02:17:22 PM 183440936 192074988   2928452      1.49    178656   9433960   3554356      1.73    907908  10126800        40
02:18:22 PM 183444512 192078612   2924972      1.49    178704   9433960   3554356      1.73    907956  10126836       156
02:19:22 PM 183443828 192077976   2925640      1.49    178744   9433968   3554356      1.73    907996  10126820         4
02:20:22 PM 183443360 192077552   2925736      1.49    178784   9433972   3554356      1.73    908036  10126848       156
02:21:22 PM 183441912 192076140   2927036      1.49    178816   9433976   3554356      1.73    908068  10126852         4
02:22:22 PM 183441940 192076208   2926796      1.49    178864   9433976   3554356      1.73    908108  10126832        32
02:23:22 PM 183452688 192087012   2915712      1.48    178920   9433976   3554356      1.73    908168  10127240        36
02:24:22 PM 183434296 192068660   2934088      1.49    178952   9433976   3554356      1.73    908220  10126832         4
02:25:22 PM 183434036 192068456   2934028      1.49    179008   9433984   3554356      1.73    908268  10126816        40
02:26:22 PM 183434308 192068760   2933852      1.49    179032   9433984   3554356      1.73    908300  10126844         4
02:27:22 PM 183434572 192069076   2933556      1.49    179080   9433988   3554356      1.73    908348  10126844        24
02:28:22 PM 183433148 192067716   2934944      1.49    179144   9433992   3554356      1.73    908408  10126852        32
02:29:22 PM 183437972 192072576   2930024      1.49    179176   9433996   3558532      1.74    908444  10128744         4
02:30:22 PM 183435820 192070472   2932180      1.49    179224   9434000   3554356      1.73    908484  10126860         4
02:31:22 PM 183436356 192071096   2931496      1.49    179312   9434000   3554356      1.73    908568  10126816       192
02:32:22 PM 183436152 192070948   2931712      1.49    179352   9434008   3554356      1.73    908616  10126884         4
02:33:22 PM 183433928 192068820   2934140      1.49    179424   9434032   3554356      1.73    908688  10126916         4
02:34:22 PM 183440184 192075132   2928108      1.49    179480   9434032   3554356      1.73    908744  10126896       148
02:35:22 PM 183437740 192072740   2930556      1.49    179528   9434036   3554356      1.73    908792  10126928        20
02:36:22 PM 183437512 192072556   2930864      1.49    179568   9434040   3554356      1.73    908832  10126928         4
02:37:22 PM 183437572 192072652   2930564      1.49    179608   9434044   3554356      1.73    908864  10126908        24
02:38:22 PM 183437064 192072192   2931144      1.49    179648   9434044   3554356      1.73    908912  10126936         4
02:39:22 PM 183432624 192067804   2935600      1.49    179704   9434048   3554356      1.73    908960  10126936        24
02:40:22 PM 183432020 192067256   2936236      1.49    179744   9434056   3554356      1.73    909008  10126920         4
02:41:22 PM 183432064 192067344   2935940      1.49    179792   9434060   3554356      1.73    909048  10126948        28
02:42:22 PM 183431608 192066936   2936320      1.49    179832   9434060   3558532      1.74    909100  10128908         4
02:43:22 PM 183431920 192067280   2935804      1.49    179872   9434060   3554356      1.73    909128  10126924         8
02:44:22 PM 183447552 192082976   2920184      1.48    179928   9434068   3554356      1.73    909184  10126932        28
02:45:22 PM 183447424 192082900   2920312      1.48    179976   9434072   3554356      1.73    909236  10126960        28
02:46:22 PM 183447216 192082736   2920256      1.48    180016   9434076   3554356      1.73    909276  10126940        24
02:47:22 PM 183445536 192081112   2921668      1.49    180072   9434076   3554356      1.73    909332  10126960        28
02:48:22 PM 183445300 192080936   2921916      1.49    180120   9434080   3554356      1.73    909388  10126964        28
02:49:22 PM 183440408 192076100   2926456      1.49    180176   9434080   3558540      1.74    909448  10128904         4
02:50:22 PM 183440548 192076276   2926272      1.49    180216   9434084   3554356      1.73    909476  10126944       144
02:51:22 PM 183440356 192076140   2926328      1.49    180256   9434096   3554356      1.73    909524  10126952       152
02:52:22 PM 183442116 192077952   2924620      1.49    180304   9434104   3554356      1.73    909568  10126980        32
