procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 183808736 178004 9838280    0    0     0     3    6    3  0  0 100  0  0
 1  0      0 183446240 178060 9838324    0    0     0    15  457  316  2  0 98  0  0
 1  0      0 183444576 178128 9838304    0    0     0    20  466  342  3  0 97  0  0
 1  0      0 183443616 178176 9838304    0    0     0    13  481  329  3  0 97  0  0
 1  0      0 183442176 178208 9838308    0    0     0    10  460  327  3  0 97  0  0
 1  0      0 183444208 178248 9838304    0    0     0    12  453  335  3  0 97  0  0
 1  0      0 183441792 178304 9838316    0    0     0    12  466  346  3  0 97  0  0
 1  0      0 183442064 178344 9838316    0    0     0    11  456  296  3  0 97  0  0
 1  0      0 183440912 178384 9838332    0    0     0    14  453  300  3  0 97  0  0
 1  0      0 183441488 178416 9838332    0    0     0     9  461  300  3  0 97  0  0
 1  0      0 183441792 178448 9838332    0    0     0    14  452  296  3  0 97  0  0
 1  0      0 183441632 178496 9838340    0    0     0    13  450  298  3  0 97  0  0
 1  0      0 183441680 178536 9838340    0    0     0    11  447  298  3  0 97  0  0
 1  0      0 183440752 178576 9838340    0    0     0    14  440  281  3  0 97  0  0
 1  0      0 183441360 178616 9838340    0    0     0    10  446  297  3  0 97  0  0
 1  0      0 183447504 178656 9838344    0    0     0    14  450  301  3  0 97  0  0
 1  0      0 183444512 178712 9838344    0    0     0    13  475  317  3  0 97  0  0
 1  0      0 183443824 178752 9838352    0    0     0     8  447  296  3  0 97  0  0
 1  0      0 183443360 178792 9838356    0    0     0    15  457  300  3  0 97  0  0
 2  0      0 183441680 178824 9838360    0    0     0     8  449  280  3  0 97  0  0
 1  0      0 183441936 178864 9838360    0    0     0    10  449  293  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 183438832 178920 9838360    0    0     0    11  470  297  3  0 97  0  0
 1  0      0 183434304 178960 9838360    0    0     0    11  458  288  3  0 97  0  0
 1  0      0 183434032 179008 9838368    0    0     0    16  461  286  3  0 97  0  0
 1  0      0 183434304 179040 9838368    0    0     0     8  443  277  3  0 97  0  0
 1  0      0 183434576 179088 9838372    0    0     0    11  455  291  3  0 97  0  0
 1  0      0 183433152 179144 9838376    0    0     0    12  459  295  3  0 97  0  0
 1  0      0 183437472 179184 9838380    0    0     0     8  466  302  3  0 97  0  0
 1  0      0 183436064 179232 9838384    0    0     0    16  443  296  3  0 97  0  0
 1  0      0 183436352 179320 9838384    0    0     0    20  451  302  3  0 97  0  0
 1  0      0 183436160 179360 9838392    0    0     0    12  443  295  3  0 97  0  0
 1  0      0 183433936 179432 9838416    0    0     0    47  698  388  3  0 97  0  0
 1  0      0 183440192 179488 9838420    0    0     0    13  452  287  3  0 97  0  0
 1  0      0 183437744 179536 9838420    0    0     0    13  442  297  3  0 97  0  0
 1  0      0 183437008 179576 9838428    0    0     0     9  454  300  3  0 97  0  0
 1  0      0 183437568 179616 9838428    0    0     0    11  440  296  3  0 97  0  0
 1  0      0 183437056 179656 9838428    0    0     0     8  453  297  3  0 97  0  0
 1  0      0 183432624 179712 9838432    0    0     0    13  455  301  3  0 97  0  0
 1  0      0 183432016 179752 9838440    0    0     0    11  443  281  3  0 97  0  0
 1  0      0 183432064 179792 9838444    0    0     0    11  448  298  3  0 97  0  0
 1  0      0 183431856 179840 9838444    0    0     0     9  457  293  3  0 97  0  0
 1  0      0 183431920 179880 9838444    0    0     0    11  444  280  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183447552 179928 9838452    0    0     0    12  469  296  3  0 97  0  0
 1  0      0 183447424 179976 9838456    0    0     0    14  452  282  3  0 97  0  0
 1  0      0 183447216 180024 9838460    0    0     0    12  455  270  3  0 97  0  0
 1  0      0 183445536 180072 9838460    0    0     0    11  444  279  3  0 97  0  0
 1  0      0 183445296 180120 9838464    0    0     0    13  452  283  3  0 97  0  0
 1  0      0 183441440 180184 9838464    0    0     0    11  462  305  3  0 97  0  0
 1  0      0 183440544 180224 9838468    0    0     0    17  450  299  3  0 97  0  0
 1  0      0 183440352 180264 9838480    0    0     0    12  449  296  3  0 97  0  0
 1  0      0 183442368 180304 9838488    0    0     0    12  470  336  3  0 97  0  0
 1  0      0 183441920 180344 9838488    0    0     0    11  449  301  3  0 97  0  0
 1  0      0 183441952 180400 9838492    0    0     0    11  465  300  3  0 97  0  0
 1  0      0 183441568 180440 9838492    0    0     0    16  452  299  3  0 97  0  0
 1  0      0 183441856 180472 9838492    0    0     0     8  442  296  3  0 97  0  0
 1  0      0 183441664 180504 9838492    0    0     0    11  442  305  3  0 97  0  0
 1  0      0 183442208 180544 9838492    0    0     0    12  451  283  3  0 97  0  0
 1  0      0 183438224 180600 9838500    0    0     0    11  456  302  3  0 97  0  0
 1  0      0 183437552 180640 9838512    0    0     0    11  446  298  3  0 97  0  0
 1  0      0 183438336 180688 9838516    0    0     0    14  456  300  3  0 97  0  0
 1  0      0 183438208 180728 9838516    0    0     0     8  440  291  3  0 97  0  0
 1  0      0 183438592 180768 9838516    0    0     0     7  436  280  3  0 97  0  0
 1  0      0 183438224 180800 9838516    0    0     0     9  441  277  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183432560 180864 9838524    0    0     0    14  444  269  3  0 97  0  0
 1  0      0 183431968 180912 9838524    0    0     0    10  447  282  3  0 97  0  0
 1  0      0 183432384 180952 9838524    0    0     0    11  450  282  3  0 97  0  0
 1  0      0 183432032 180992 9838532    0    0     0     7  443  280  3  0 97  0  0
 1  0      0 183433184 181024 9838536    0    0     0     7  432  277  3  0 97  0  0
 1  0      0 183432832 181080 9838560    0    0     0    17  461  296  3  0 97  0  0
 1  0      0 183433264 181120 9838564    0    0     0    11  454  290  3  0 97  0  0
 1  0      0 183433104 181168 9838564    0    0     0    12  456  314  3  0 97  0  0
 1  0      0 183432976 181216 9838568    0    0     0    10  462  288  3  0 97  0  0
 1  0      0 183433312 181256 9838572    0    0     0     8  443  281  3  0 97  0  0
 1  0      0 183440416 181320 9838572    0    0     0    16  456  291  3  0 97  0  0
 1  0      0 183444832 181388 9838608    0    0     0    22  471  306  3  0 97  0  0
 1  0      0 183445120 181444 9838608    0    0     0    16  449  289  3  0 97  0  0
 1  0      0 183445280 181484 9838616    0    0     0    13  446  270  3  0 97  0  0
 1  0      0 183445664 181524 9838620    0    0     0     9  450  288  3  0 97  0  0
 1  0      0 183435936 181588 9838628    0    0     0    19  465  300  3  0 97  0  0
 1  0      0 183436480 181636 9838636    0    0     0     8  453  293  3  0 97  0  0
 1  0      0 183437408 181684 9838636    0    0     0    13  444  299  3  0 97  0  0
