Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/09/2025 	_x86_64_	(40 CPU)

08:02:15 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
08:03:15 PM 183285808 191799960   3217844      1.64     99200   9397216   3583292      1.75    676788  10574092         4
08:04:15 PM 183287500 191801676   3216008      1.64     99252   9397184   3583292      1.75    676852  10574144        64
08:05:15 PM 183286972 191801196   3216428      1.64     99296   9397184   3583292      1.75    676900  10574200         0
08:06:15 PM 183286144 191800408   3217144      1.64     99336   9397184   3583292      1.75    676940  10574392         4
08:07:15 PM 183284184 191798488   3219072      1.64     99384   9397184   3583292      1.75    676984  10574440        20
08:08:15 PM 183283016 191797356   3220184      1.64     99408   9397188   3583292      1.75    677016  10574620         4
08:09:15 PM 183275360 191789732   3227740      1.64     99440   9397188   3583468      1.75    677052  10574868         4
08:10:15 PM 183276108 191790512   3226964      1.64     99472   9397192   3583468      1.75    677076  10574876         4
08:11:15 PM 183277208 191791644   3225836      1.64     99496   9397192   3583468      1.75    677108  10574872         4
08:12:15 PM 183277048 191791516   3226148      1.64     99536   9397192   3583468      1.75    677140  10574872         4
08:13:15 PM 183276796 191791296   3226376      1.64     99560   9397192   3583468      1.75    677172  10574872         4
08:14:15 PM 183277536 191792068   3225672      1.64     99600   9397184   3583468      1.75    677204  10574872         4
08:15:15 PM 183276156 191790732   3226948      1.64     99632   9397196   3583468      1.75    677244  10574876         4
08:16:15 PM 183288224 191802844   3214748      1.63     99672   9397200   3583468      1.75    677284  10574856         8
08:17:15 PM 183282724 191797388   3220080      1.64     99720   9397204   3583468      1.75    677324  10575344       116
08:18:15 PM 183289240 191803952   3213396      1.63     99768   9397204   3583468      1.75    677372  10574852         4
08:19:15 PM 183288520 191803280   3214160      1.63     99816   9397204   3583468      1.75    677420  10574884         4
08:20:15 PM 183287904 191802728   3214584      1.63     99864   9397212   3584588      1.75    677476  10574896         4
08:21:15 PM 183286172 191801044   3216324      1.64     99912   9397212   3585560      1.75    677528  10576620        24
08:22:15 PM 183285204 191800112   3217444      1.64     99944   9397220   3585560      1.75    677560  10576580       164
08:23:15 PM 183284480 191799424   3218156      1.64     99976   9397220   3583468      1.75    677588  10574904       120
08:24:15 PM 183288628 191803612   3213648      1.63    100016   9397220   3583468      1.75    677628  10574880       120
08:25:15 PM 183283680 191798724   3218380      1.64    100072   9397224   3583468      1.75    677688  10575140         8
08:26:15 PM 183283920 191798996   3217972      1.64    100104   9397224   3587652      1.75    677720  10576828         4
08:27:15 PM 183281848 191796968   3220380      1.64    100144   9397228   3587652      1.75    677760  10576884         4
08:28:15 PM 183281368 191796520   3220984      1.64    100184   9397228   3583468      1.75    677788  10574884        32
08:29:15 PM 183280392 191795580   3221916      1.64    100208   9397232   3583468      1.75    677820  10574912         4
08:30:15 PM 183280200 191795452   3221924      1.64    100264   9397240   3583468      1.75    677876  10574920       136
08:31:15 PM 183279328 191794648   3222672      1.64    100332   9397240   3585760      1.75    678408  10574956       112
08:32:15 PM 183584180 192099524   2917672      1.48    100364   9397240   3281568      1.60    678436  10273284         8
08:33:15 PM 183582760 192098160   2919148      1.48    100412   9397248   3281568      1.60    678484  10273288        12
08:34:15 PM 183582036 192097468   2919688      1.48    100444   9397248   3281568      1.60    678516  10273288         8
08:35:15 PM 183581108 192096592   2920324      1.48    100492   9397252   3283660      1.60    678568  10275012         8
08:36:15 PM 183580448 192095956   2921116      1.49    100516   9397252   3283660      1.60    678592  10275012       152
08:37:15 PM 183586644 192102176   2914852      1.48    100540   9397252   3281568      1.60    678612  10273292        16
08:38:15 PM 183585944 192101516   2915596      1.48    100564   9397260   3281568      1.60    678644  10273256         8
08:39:15 PM 183585020 192100632   2916556      1.48    100604   9397260   3281568      1.60    678684  10273248        28
08:40:15 PM 183583872 192099536   2917704      1.48    100652   9397264   3281568      1.60    678732  10273296         8
08:41:15 PM 183584168 192099860   2917536      1.48    100676   9397268   3281568      1.60    678756  10273280        12
08:42:15 PM 183583804 192099532   2917836      1.48    100708   9397268   3282668      1.60    678788  10273312         4
08:43:15 PM 183583648 192099408   2917888      1.48    100740   9397268   3281568      1.60    678820  10273312         4
08:44:15 PM 183582212 192098008   2919400      1.48    100772   9397272   3281568      1.60    678852  10273312        40
08:45:15 PM 183582588 192098436   2919176      1.48    100820   9397276   3281568      1.60    678904  10273268        24
08:46:15 PM 183581684 192097560   2919896      1.48    100852   9397280   3281568      1.60    678928  10273288        32
08:47:15 PM 183585120 192101028   2916572      1.48    100876   9397280   3285744      1.60    678960  10274832         4
08:48:15 PM 183583712 192099652   2917904      1.48    100908   9397280   3281568      1.60    678992  10273320         4
08:49:15 PM 183581992 192097960   2919400      1.48    100932   9397284   3285744      1.60    679020  10275284         4
08:50:15 PM 183580996 192097016   2920272      1.48    100980   9397296   3285744      1.60    679060  10275276       156
08:51:15 PM 183581056 192097120   2920356      1.48    101012   9397300   3281568      1.60    679096  10273340         8
08:52:15 PM 183583984 192100080   2917452      1.48    101052   9397300   3281568      1.60    679128  10273340       140
08:53:15 PM 183582780 192098916   2918548      1.48    101084   9397300   3281568      1.60    679168  10273312       140
08:54:15 PM 183582548 192098720   2918624      1.48    101124   9397304   3281568      1.60    679200  10273344        36
08:55:15 PM 183581852 192098056   2919204      1.48    101156   9397296   3281568      1.60    679232  10273340         4
08:56:15 PM 183582352 192098596   2918976      1.48    101188   9397304   3281568      1.60    679272  10273340       140
08:57:15 PM 183585748 192102036   2915620      1.48    101228   9397308   3281568      1.60    679312  10273348         4
08:58:15 PM 183583416 192099764   2917512      1.48    101284   9397312   3285752      1.60    679372  10275308        28
08:59:15 PM 183584204 192100580   2916900      1.48    101308   9397316   3281568      1.60    679392  10273352       144
09:00:15 PM 183583496 192099920   2917444      1.48    101356   9397324   3285752      1.60    679432  10274876         4
09:01:15 PM 183581828 192098312   2919008      1.48    101404   9397328   3285960      1.60    679496  10275640         4
09:02:15 PM 183583664 192100172   2917120      1.48    101428   9397328   3285960      1.60    679520  10275664         4
09:03:15 PM 183582992 192099548   2918044      1.48    101476   9397328   3281568      1.60    679560  10273364         4
