procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 183325040  99144 9794148    0    0     1    32   11    7  2  0 98  0  0
 1  0      0 183285824  99208 9794188    0    0     0     6  337  228  1  0 99  0  0
 1  0      0 183287552  99264 9794156    0    0     0     9  489  334  3  0 97  0  0
 2  0      0 183287008  99304 9794156    0    0     0     5  491  316  3  0 97  0  0
 1  0      0 183285888  99344 9794156    0    0     0     4  477  295  3  0 97  0  0
 1  0      0 183284208  99384 9794156    0    0     0     4  456  271  3  0 97  0  0
 1  0      0 183283040  99416 9794160    0    0     0     2  471  292  3  0 97  0  0
 1  0      0 183275360  99448 9794160    0    0     0     4  475  274  3  0 97  0  0
 1  0      0 183276384  99480 9794172    0    0     0     7  434  221  3  0 97  0  0
 1  0      0 183277216  99504 9794172    0    0     0     1  436  218  3  0 97  0  0
 1  0      0 183277056  99544 9794172    0    0     0     7  444  222  3  0 97  0  0
 1  0      0 183276800  99568 9794172    0    0     0     1  429  215  3  0 97  0  0
 1  0      0 183277536  99600 9794172    0    0     0     4  435  209  3  0 97  0  0
 1  0      0 183275712  99640 9794176    0    0     0     9  443  222  3  0 97  0  0
 1  0      0 183287984  99680 9794180    0    0     0     7  465  248  3  0 97  0  0
 1  0      0 183283216  99728 9794184    0    0     0    12  473  254  3  0 97  0  0
 1  0      0 183289040  99776 9794184    0    0     0     9  473  252  3  0 97  0  0
 1  0      0 183288544  99824 9794184    0    0     0     7  450  225  3  0 97  0  0
 1  0      0 183287904  99872 9794192    0    0     0     9  448  225  3  0 97  0  0
 1  0      0 183286176  99920 9794192    0    0     0    11  443  223  3  0 97  0  0
 1  0      0 183285216  99952 9794200    0    0     0     7  450  224  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183284480  99984 9794200    0    0     0     7  438  221  3  0 97  0  0
 1  0      0 183289152 100024 9794200    0    0     0     9  471  245  3  0 97  0  0
 1  0      0 183283456 100080 9794204    0    0     0    12  478  247  3  0 97  0  0
 1  0      0 183284464 100112 9794204    0    0     0     6  460  244  3  0 97  0  0
 1  0      0 183281856 100152 9794208    0    0     0     9  450  228  3  0 97  0  0
 1  0      0 183281376 100184 9794212    0    0     0     7  453  225  3  0 97  0  0
 1  0      0 183280400 100216 9794212    0    0     0     7  446  220  3  0 97  0  0
 1  0      0 183280192 100272 9794220    0    0     0    13  453  222  3  0 97  0  0
 1  0      0 183279328 100340 9794220    0    0     0    16  447  228  3  0 97  0  0
 1  0      0 183584176 100372 9794220    0    0     0     5  436  215  3  0 97  0  0
 1  0      0 183582752 100420 9794228    0    0     0    10  442  219  3  0 97  0  0
 1  0      0 183582032 100444 9794232    0    0     0     7  444  219  3  0 97  0  0
 1  0      0 183581104 100492 9794232    0    0     0    11  439  213  3  0 97  0  0
 1  0      0 183580448 100516 9794232    0    0     0     6  434  216  3  0 97  0  0
 1  0      0 183586144 100540 9794232    0    0     0     4  433  217  3  0 97  0  0
 1  0      0 183585952 100572 9794240    0    0     0     8  447  219  3  0 97  0  0
 1  0      0 183585024 100612 9794240    0    0     0     9  444  219  3  0 97  0  0
 1  0      0 183583872 100660 9794244    0    0     0    10  443  222  3  0 97  0  0
 2  0      0 183584000 100684 9794248    0    0     0     5  443  209  3  0 97  0  0
 1  0      0 183583824 100716 9794256    0    0     0     9  453  226  3  0 97  0  0
 1  0      0 183582400 100748 9794256    0    0     0     7  485  217  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183582224 100772 9794260    0    0     0     8  446  217  3  0 97  0  0
 1  0      0 183582400 100820 9794264    0    0     0    11  442  218  3  0 97  0  0
 2  0      0 183581696 100852 9794268    0    0     0    11  454  214  3  0 97  0  0
 1  0      0 183584896 100884 9794268    0    0     0     5  441  220  3  0 97  0  0
 1  0      0 183583712 100916 9794268    0    0     0    10  451  225  3  0 97  0  0
 1  0      0 183581984 100940 9794272    0    0     0     7  441  218  3  0 97  0  0
 1  0      0 183580992 100980 9794284    0    0     0     8  440  221  3  0 97  0  0
 1  0      0 183581056 101020 9794288    0    0     0    10  443  217  3  0 97  0  0
 1  0      0 183583984 101060 9794288    0    0     0     9  447  219  3  0 97  0  0
 1  0      0 183582784 101092 9794288    0    0     0     5  436  215  3  0 97  0  0
 1  0      0 183582544 101124 9794292    0    0     0    10  435  215  3  0 97  0  0
 1  0      0 183581856 101156 9794292    0    0     0     5  426  213  2  0 97  0  0
 1  0      0 183582352 101196 9794292    0    0     0     9  444  219  3  0 97  0  0
 1  0      0 183585744 101236 9794296    0    0     0     8  440  209  3  0 97  0  0
 1  0      0 183583664 101284 9794300    0    0     0    13  462  224  3  0 97  0  0
 1  0      0 183584208 101316 9794304    0    0     0    11  433  213  3  0 97  0  0
 2  0      0 183583504 101364 9794312    0    0     0    12  444  218  3  0 97  0  0
 1  0      0 183581824 101412 9794316    0    0     0     8  433  212  3  0 97  0  0
 1  0      0 183583664 101436 9794316    0    0     0     1  425  208  3  0 97  0  0
 2  0      0 183582992 101484 9794316    0    0     0    12  445  209  3  0 97  0  0
 1  0      0 183582560 101516 9794316    0    0     0    10  442  213  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183581136 101556 9794316    0    0     0     9  440  212  3  0 97  0  0
 1  0      0 183580160 101596 9794316    0    0     0    10  453  215  3  0 97  0  0
 1  0      0 183583360 101636 9794324    0    0     0     8  450  220  3  0 97  0  0
 1  0      0 183582384 101676 9794332    0    0     0    13  448  215  3  0 97  0  0
 1  0      0 183580672 101716 9794332    0    0     0    10  450  210  3  0 97  0  0
 1  0      0 183580448 101756 9794340    0    0     0    12  436  215  3  0 97  0  0
 1  0      0 183580000 101788 9794344    0    0     0    10  445  214  3  0 97  0  0
 1  0      0 183582704 101828 9794344    0    0     0     8  448  217  3  0 97  0  0
 1  0      0 183580544 101884 9794344    0    0     0    18  467  223  3  0 97  0  0
 1  0      0 183579104 101932 9794352    0    0     0    15  462  216  3  0 97  0  0
 1  0      0 183577648 101972 9794356    0    0     0    13  444  215  3  0 97  0  0
 1  0      0 183577072 102028 9794356    0    0     0    13  463  221  3  0 97  0  0
 1  0      0 183580960 102068 9794368    0    0     0    16  460  220  3  0 97  0  0
 1  0      0 183576720 102100 9794368    0    0     0    12  451  217  3  0 97  0  0
 1  0      0 183576576 102140 9794368    0    0     0    11  469  221  3  0 97  0  0
 1  0      0 183578352 102180 9794376    0    0     0    14  464  246  3  0 97  0  0
 1  0      0 183575712 102236 9794380    0    0     0    18  509  308  3  0 97  0  0
 1  0      0 183574464 102284 9794384    0    0     0    17  485  251  3  0 97  0  0
 1  0      0 183575904 102332 9794392    0    0     0    19  469  222  3  0 97  0  0
 1  0      0 183574448 102372 9794396    0    0     0    14  475  225  3  0 97  0  0
 1  0      0 183574528 102412 9794396    0    0     0    15  467  250  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 183574176 102480 9794436    0    0     0    19  285  215  0  0 99  0  0
